tissue,table,gene,hist,hist_max
uterus,excluded_at_or_below_-1,ENSG00000121075.11,cU/j3vccMMMYAEQEEEAEAAEAEAAEAEEAAAAAAAAE,16
uterus,excluded_at_or_below_-1,ENSG00000184058.16,GALLGGALARLXLdXoX5o5/iX5oid5LiRdGLXAAGAR,11
uterus,excluded_at_or_below_-1,ENSG00000122145.15,u/1eKDAHHADAAAADAAADAAAAAAAAAAAAAAAAAAAD,19
vagina,excluded_at_or_below_-1,ENSG00000092607.15,y/wrywhXIFIDFDFIDFFDDDDAAADAAAAAAAAAAAAD,25
vagina,excluded_at_or_below_-1,ENSG00000143178.13,IAYIIng/g/3nvQY/v3v/gv3ggYg//InggQvIQIQI,8
vagina,excluded_at_or_below_-1,ENSG00000112837.17,FFFaKKgqVAlKVQv6V0QaFg6lQvl/QKQQlKKFKAAF,12
vagina,excluded_at_or_below_-1,ENSG00000228290.8,yb/ebkhehhNHReNRHRADHNDHDADDADAAADAAADAD,19
vagina,excluded_at_or_below_-1,ENSG00000164532.11,/MCAEAAACAAAAACAAAAAAAAAAAACAAAAAAAAAAAC,32
vagina,excluded_at_or_below_-1,ENSG00000167800.10,V/gVVOuKYcSOEOEEHEEAAEEEEAEAAAEAHAAAAAAE,18
vagina,excluded_at_or_below_-1,ENSG00000089225.20,/xZTRQIGFGFACACCCDACCACAAAAADACCCAAAAACC,40
vagina,excluded_at_or_below_-1,ENSG00000255399.7,/iNMRKHFEDDDHBBBDBABDBBAAAAABAADAAAAAAAB,48
vagina,excluded_at_or_below_-1,ENSG00000135111.16,EAEAAAIAEIEAIYYMnrg/znUYnrzcjMUIIIEAAAAE,16
vagina,excluded_at_or_below_-1,ENSG00000257817.3,y66/S//gWWgJEbJJOOEJSOEbSJEJEOJJEEEAJJJE,14
vagina,excluded_at_or_below_-1,ENSG00000073861.3,KQFF6Vqlllvv0Kql/lqqaVAgKKQKFKKFFQFAFFAF,12
vagina,excluded_at_or_below_-1,ENSG00000267280.7,GAGAmTmTTNNmZm5ss5NsgZmyg/GZygZTmTTTGNGZ,10
vagina,excluded_at_or_below_-1,ENSG00000121068.14,EAAEAOJAoOEJgOOWESS2yk/gbWbgWSbgSWEWOEEO,14
vagina,excluded_at_or_below_-1,ENSG00000121075.11,/9gSMRIHDICDADCAAACCCADCHAACCAADCCAAAAAD,38
vagina,excluded_at_or_below_-1,ENSG00000184058.16,FFFAVKFQQKKaVQQlqlqg/gvglVlvlVVaQQQKFVAQ,12
vagina,excluded_at_or_below_-1,ENSG00000122145.15,/JBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB,64
