tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000230748.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,148
uterus,raw,ENSG00000226986.4,/ACNVLKaISNLFDFDDDIDCADAFCAADAAAAAAAACAC,39
uterus,raw,ENSG00000226226.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,152
uterus,raw,ENSG00000228305.2,TKKTdK1s6P1Yw/d16PYTTYKFKKAAFAAAAAAAAAAF,13
uterus,raw,ENSG00000251163.1,/AABBCFECBDBDCBCBBBBCAAAAABAABAAAAABAAAB,98
uterus,raw,ENSG00000251656.1,/AAAAAAAABBAAABAAAAAAAAAAAAAAAAAAAAAAAAA,139
uterus,raw,ENSG00000249516.1,/AAAAAAAABBAAABABBAAABAAAAAAAAAAAAAAAAAB,129
uterus,raw,ENSG00000270741.1,/AAAAAACBBBAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,134
uterus,raw,ENSG00000186314.12,EEAAEAJJOWgbtSgbWoWk/tgoSOSSJEEOEAEEOEAJ,14
uterus,raw,ENSG00000236105.1,/AAAAAAAAAAAAAABAAAAAAAAAAAAABAAAAAAAAAA,140
uterus,raw,ENSG00000231108.2,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,147
uterus,raw,ENSG00000257336.1,/AAAAAAAAAAAABBBBAAAAAAAAAAAAAAAAAAAAAAA,138
uterus,raw,ENSG00000271242.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,151
uterus,raw,ENSG00000264907.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,150
uterus,raw,ENSG00000141391.14,GAAGNNNNT5mTsyZm/g/NNNgssssyZZZNNTZAAAGG,10
uterus,raw,ENSG00000101166.16,FFAFFFFsAKdPiYiiKdYTi/Ts/TYTdTAPTTAFFAAK,13
vagina,raw,ENSG00000230748.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAA,165
vagina,raw,ENSG00000226986.4,/ADGGQJHLRHLHDHEDEHEGBBDGEDGADBADDAAAEBB,44
vagina,raw,ENSG00000226226.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,167
vagina,raw,ENSG00000228305.2,dAZIRNiZd/ZV3RyimqVZVdNNIIEIEIIEEAAEAAAE,15
