tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000290842.2,GGAGGRAGLXRuoiXX0i/RdiLdidGiiLduddGGRRLG,11
uterus,raw,ENSG00000080947.16,/AAAAAJWPHCJEUEHJULLULHEPJLEHJHECECCACAC,29
uterus,raw,ENSG00000215908.12,lAAQqKQVVglgg6/qgvgaKlgKVgKFFVAAAKFAFAAF,12
uterus,raw,ENSG00000058453.17,FFAAAPKKTTPPiKdwYd/niYPdYniKPYPKdPTAFFFF,13
uterus,raw,ENSG00000227684.3,/AAAAAAAAABABAABAAAAAAAAAAAAAAAAAAAAAAAA,142
uterus,raw,ENSG00000186543.7,/AAAAAAAAAABCBABAABAAAAAAAAAAAAAAAAAAAAA,128
uterus,raw,ENSG00000143536.7,0Xd/XiXXX5i0oiXddoGLLLRidLXLALLGLRAGAGGG,11
uterus,raw,ENSG00000223603.1,/AAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAA,144
uterus,raw,ENSG00000132693.12,/pmLeWTObILFIIIWDFDIDIIAILFIADAAAADADAAD,23
uterus,raw,ENSG00000226321.6,T1iw11Yn1Ys/YsPTFKPKKPAFFFPKAAFFAAAFAAFK,13
uterus,raw,ENSG00000214960.11,EAAAAAEAENNVNIRmRVZ/iZ/qdiyRdRIRIAEAAAAE,15
uterus,raw,ENSG00000229688.9,Qcjn7/rgnMUjQMIIUQIIEYIIIAEAEMAAAEAAEEAE,16
uterus,raw,ENSG00000005469.12,IAAEAAEAEIEAEIRNIENVZmmVmduZyu/RRRIREIEI,15
uterus,raw,ENSG00000095713.14,KaQlvq6/g6lq6/6lVFFFQQKFFFAKFAAFAAAAAAAF,12
uterus,raw,ENSG00000109943.9,qHxcxjq/4j44/jcjqVcccVVqHOAOcHOOOHHHHAAV,9
uterus,raw,ENSG00000225769.1,/AKPFKEEEBDFEACABAAABBAAAAAAAAAAAAAAAAAB,72
vagina,raw,ENSG00000290842.2,FFFAFQAaaaQalvqlV6gVqgga/vVF6KAaaKVFFAFF,12
vagina,raw,ENSG00000080947.16,/AAADJOfORJHJMPMHFHJDJFAFHJCADACDAAAAAAC,37
vagina,raw,ENSG00000215908.12,sAKnYsYY/1winnTPssdwTYFKYFYFAFFAAFAAAAFF,13
vagina,raw,ENSG00000058453.17,FAPAAdKAKATPYYTTsnn/6nwYP1nnnPKYFPPAFAFF,13
vagina,raw,ENSG00000227684.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,169
vagina,raw,ENSG00000186543.7,/AAAAAAABBBBCBBBCAAAAAAAAAAAAAAAAAAAAAAA,141
vagina,raw,ENSG00000143536.7,PTahLPTWLHEALAHELEALEHEPEAHEHETThThes//W,17
vagina,raw,ENSG00000223603.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,164
vagina,raw,ENSG00000132693.12,/jdTPQLGIBBEDBAAAAAAAAAAAAAAAAAAAAAAAAAB,50
vagina,raw,ENSG00000226321.6,a2/ixrgxdOLLLJLDDAGGDGDDADAAAAAAAAAAAAAG,22
vagina,raw,ENSG00000214960.11,HEAHHHVOAEOOOjgYgmYgYY/EYVKSYHHOHEHAEAAE,18
vagina,raw,ENSG00000229688.9,/YilqYaSYQKYQNIIIDDFNAAFIFDADADAAAAAAAAD,24
vagina,raw,ENSG00000005469.12,FKAKAFAaKaVaVKaaaQgKQlvvq00q/qaVgVQKFAAK,12
vagina,raw,ENSG00000095713.14,UUXKkhbkb/euroXUUNADDADDHDDADAAAAAAAAAAD,19
vagina,raw,ENSG00000109943.9,Sybg2/ytooSoSWoOSJSWSASJAJEOJEEAAOAAEEEJ,14
vagina,raw,ENSG00000225769.1,/ABHHHKFDFCCBBBBABBBAAAAAABAABBAAAABAAAB,86
uterus,excluded_at_or_below_-1,ENSG00000290842.2,GGAGGRAGLXRuoiXX0i/RdiLdidGiiLduddGGRRLG,11
uterus,excluded_at_or_below_-1,ENSG00000080947.16,Z/gZNGTNsNTgZmgZmgZZGmZTTTNZNTANGGGAGAAG,10
uterus,excluded_at_or_below_-1,ENSG00000215908.12,vQQVKaaggaq/llllaaKlaQFgVKFFQAAAFKAFAAAF,12
uterus,excluded_at_or_below_-1,ENSG00000058453.17,FFAAAPKKTTPPiKdwYd/niYPdYniKPYPKdPTAFFFF,13
uterus,excluded_at_or_below_-1,ENSG00000227684.3,/AgggA/AAAggAAAAAAAAAAAAAAAgAAAAAAAAAAAg,2
uterus,excluded_at_or_below_-1,ENSG00000186543.7,NANAZ/ZmANNNZNNAANAANAAAAAAAAANAAAAAAAAN,5
uterus,excluded_at_or_below_-1,ENSG00000143536.7,iX/RoXdRuiuoiiXXoXGLLRRoRLXLGGLLLLGAAGGG,11
uterus,excluded_at_or_below_-1,ENSG00000223603.1,ggAAAAgA/gAAAAgAAAAAAgAAAAAAAAAAAAAAAAAg,2
uterus,excluded_at_or_below_-1,ENSG00000132693.12,u/UUkUeUbKHNKHKXHDDKKKDDKKHKDAAAADAADAAD,19
uterus,excluded_at_or_below_-1,ENSG00000226321.6,R3Vu/ViimZmydZVIEINIINEAEENIAAEEAAAEAAEI,15
uterus,excluded_at_or_below_-1,ENSG00000214960.11,EAAAAAEAENNVNIRmRVZ/iZ/qdiyRdRIRIAEAAAAE,15
uterus,excluded_at_or_below_-1,ENSG00000229688.9,ggr3/rggQYgQIQIIYIMEQMIEIAEEEIAAAEAAEEAE,16
uterus,excluded_at_or_below_-1,ENSG00000005469.12,IAAEAAEAEIEAEIRNIENVZmmVmduZyu/RRRIREIEI,15
uterus,excluded_at_or_below_-1,ENSG00000095713.14,KaQlvq6/g6lq6/6lVFFFQQKFFFAKFAAFAAAAAAAF,12
uterus,excluded_at_or_below_-1,ENSG00000109943.9,xjc4Vq/xx4x4ccjjVcccOccOVAOOOOOHOHHHHAAV,9
uterus,excluded_at_or_below_-1,ENSG00000225769.1,w/TpPTWELPTEAHAEAAEAEAAAAAAAAAAAAAAAAAAE,17
vagina,excluded_at_or_below_-1,ENSG00000290842.2,FFFAFQAaaaQalvqlV6gVqgga/vVF6KAaaKVFFAFF,12
vagina,excluded_at_or_below_-1,ENSG00000080947.16,OWk/otWOSWkggOSOOOOSOAOEgJAAJAEJAAAAAAAE,14
vagina,excluded_at_or_below_-1,ENSG00000215908.12,iindFs/s1YinTPnnYnddKFKYFYFAFFAAFAAAAAFF,13
