tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000223229.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAA,150
uterus,raw,ENSG00000222069.1,/AAAACDGFDDBBDDABBABCBAAABBBABAAAAABAAAB,92
uterus,raw,ENSG00000222616.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000222826.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000222404.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,152
uterus,raw,ENSG00000253006.1,/AAAAABABBBCABAAAAAAAAAAAAAAAAAAAAAAAAAA,130
uterus,raw,ENSG00000222934.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000201496.1,/ACUddCZWSJLJHJLHHJJCJCCJCEEAAACACACAAAC,28
uterus,raw,ENSG00000201640.2,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000252704.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000201066.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,151
uterus,raw,ENSG00000222436.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000223324.1,/AABAFJICGEGEGCCDDCEBACEDDAABBBBABAAAAAC,66
uterus,raw,ENSG00000223315.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000222460.1,/AAKPPFCJTMOMDHTFMHFDDFCDCDCAAAAACAAAAAC,37
uterus,raw,ENSG00000252633.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
vagina,raw,ENSG00000223229.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,168
vagina,raw,ENSG00000222069.1,/AAACDDBEBDBBBBCBAAAAABABBBABBAAAAAAABAB,116
vagina,raw,ENSG00000222616.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000222826.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000222404.1,/ABCEECBEAEACFDDCCBCBCBBBABABBABEABAAAAB,90
vagina,raw,ENSG00000253006.1,/AAAABBDBCBAAABABAAABAAAAAAAAAAAAAAAAAAA,138
vagina,raw,ENSG00000222934.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,169
vagina,raw,ENSG00000201496.1,/AABMLKQIFIFGGBCICHGCGAACHCAAABACAAAABAB,52
vagina,raw,ENSG00000201640.2,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000252704.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,168
vagina,raw,ENSG00000201066.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,169
vagina,raw,ENSG00000222436.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000223324.1,/ABDEEBFCCEDACACBBBAABBAAAAAAAAAAAABAAAB,108
vagina,raw,ENSG00000223315.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,169
