tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000174348.14,EAAAANAIEAINREZNIdiiZu7Vii/RiVEVZIIAEAAE,15
uterus,raw,ENSG00000143442.24,OAAHHAHHjHqj44/jjq44q4VOOHcjOVcjOVqccqHO,9
uterus,raw,ENSG00000143157.12,FKYKPKKKTYdPndPsnnn/dsnYdPPYPFFAFFAAAAAF,13
uterus,raw,ENSG00000163389.12,FAAAAAFAFAFKFFTFYiTYTY1Y//Pn1dndniKPPAAP,13
uterus,raw,ENSG00000114631.11,OAAEbo622t/kbOSOgSWWgJOSOJEOAAEAAEAAAAAE,14
uterus,raw,ENSG00000152359.15,FAFAFFKKQKKQVqgvgK/avqla6Q6gVQQQQFFFFFFF,12
uterus,raw,ENSG00000250329.1,/BRGLSHNHHHIKHEDGDBBBBBBAAADAABBBAAAAAAB,45
uterus,raw,ENSG00000128567.17,EAAAAAAAEAAHEEHOOmuVSju/gmmSYSKVEAHAAAAE,18
uterus,raw,ENSG00000178202.14,FFAAFAFAFFQQVaaaKgqQVv0alvll/aalVKKKKKAK,12
uterus,raw,ENSG00000139323.14,EAEJEJJAWSWybykb/gkWt2JEWOWbOJJEAEAAAAAE,14
uterus,raw,ENSG00000270344.5,HAHAHHHcVOOqj44/q4qxxcqOjVqjj4ccjHVAHOAV,9
uterus,raw,ENSG00000134901.14,EAEEEEIRIV3m/Zum7ymNdNZIIEEENIAEEEEAEAAE,15
uterus,raw,ENSG00000132000.14,XALRLdd50doXuo0/oLddLRRRRXRXALRGXGLLAGAL,11
uterus,raw,ENSG00000101346.15,EAAAAEAEAJAAAEOJJEASWSbkJ/2yyWgykokSESJO,14
uterus,raw,ENSG00000186866.17,GGAAAAAGGGRLuRdduiX/ouoou0RiRLd5LdLLRLGG,11
uterus,raw,ENSG00000124429.18,Sooyt2yo/goyWSObEAOOSJEAEEEAAAAAAAAEAAAE,14
vagina,raw,ENSG00000174348.14,NAANNGZNNNAAZggNy/Tmmg5yTgmgT//msyssNNAG,10
vagina,raw,ENSG00000143442.24,FAAQFKFFaaVgvvQVVggaVvgvQg/gvqKVKAgQFQAK,12
vagina,raw,ENSG00000143157.12,EAAAAAAEAAEEIIMInYcQQg7/jU3gYYrgQjIIEEAE,16
vagina,raw,ENSG00000163389.12,OEAAJAEAESASASOSSbSOkbogy/gooJbbWgSbJOSE,14
vagina,raw,ENSG00000114631.11,EEOSAAJbOJJy6y2ooyyWt/gkSJSEEAEAAAAAAAEE,14
vagina,raw,ENSG00000152359.15,EAAAAEAEAHEAEHPHTPPea/PsashTsh4aTLHEHHEH,17
vagina,raw,ENSG00000250329.1,/BAGNPWGGIIKEEHCGKABBAEBAAAAAACAACAAAABB,52
vagina,raw,ENSG00000128567.17,FAFFFFQAVVgKKla0v/lqgaqgqQV0qaVaaKVAFFAF,12
vagina,raw,ENSG00000178202.14,NAAANGATNmZGNggysmZ/ymsgyyygZymmZgsZAGGG,10
vagina,raw,ENSG00000139323.14,LGAALRdXdXXoR0u0R0/doXduddoioddGLGALRLAG,11
vagina,raw,ENSG00000270344.5,EAEESSSSJObkbkbSo/SkSE2SWggOSWOOOEEOSAJE,14
vagina,raw,ENSG00000134901.14,GANAGGTgT5gs5gZT5s/ssg/mgsgNyN5AZZNGAGAG,10
vagina,raw,ENSG00000132000.14,EEEAENININENNZRNZiyuRVmui/ZdiZZVAIEEAEAE,15
vagina,raw,ENSG00000101346.15,EAAAHHHAEEEHOKKVYScOqqj/jVqVSgESKKHEEAEE,18
vagina,raw,ENSG00000186866.17,NGAAGNTGTZNggm/ZgmysmNZg5sg5/sgTgGgZZANN,10
vagina,raw,ENSG00000124429.18,GLi/ooLLLGAGRGLRRXdddXRLudiuRioud/iLLRiL,11
uterus,excluded_at_or_below_-1,ENSG00000174348.14,EAAAANAIEAINREZNIdiiZu7Vii/RiVEVZIIAEAAE,15
uterus,excluded_at_or_below_-1,ENSG00000143442.24,OAAHHAHHjHqj44/jjq44q4VOOHcjOVcjOVqccqHO,9
uterus,excluded_at_or_below_-1,ENSG00000143157.12,FKYKPKKKTYdPndPsnnn/dsnYdPPYPFFAFFAAAAAF,13
uterus,excluded_at_or_below_-1,ENSG00000163389.12,FAAAAAFAFAFKFFTFYiTYTY1Y//Pn1dndniKPPAAP,13
uterus,excluded_at_or_below_-1,ENSG00000114631.11,OAAEbo622t/kbOSOgSWWgJOSOJEOAAEAAEAAAAAE,14
uterus,excluded_at_or_below_-1,ENSG00000152359.15,FAFAFFKKQKKQVqgvgK/avqla6Q6gVQQQQFFFFFFF,12
uterus,excluded_at_or_below_-1,ENSG00000250329.1,yRV/ZddNRdZRZIIRIEEEEEAEAAEEAEEEAAAAAAAE,15
uterus,excluded_at_or_below_-1,ENSG00000128567.17,EAAAAAAAEAAHEEHOOmuVSju/gmmSYSKVEAHAAAAE,18
uterus,excluded_at_or_below_-1,ENSG00000178202.14,FFAAFAFAFFQQVaaaKgqQVv0alvll/aalVKKKKKAK,12
uterus,excluded_at_or_below_-1,ENSG00000139323.14,EAEJEJJAWSWybykb/gkWt2JEWOWbOJJEAEAAAAAE,14
uterus,excluded_at_or_below_-1,ENSG00000270344.5,HAHAHHHcVOOqj44/q4qxxcqOjVqjj4ccjHVAHOAV,9
uterus,excluded_at_or_below_-1,ENSG00000134901.14,EAEEEEIRIV3m/Zum7ymNdNZIIEEENIAEEEEAEAAE,15
uterus,excluded_at_or_below_-1,ENSG00000132000.14,XALRLdd50doXuo0/oLddLRRRRXRXALRGXGLLAGAL,11
uterus,excluded_at_or_below_-1,ENSG00000101346.15,EAAAAEAEAJAAAEOJJEASWSbkJ/2yyWgykokSESJO,14
uterus,excluded_at_or_below_-1,ENSG00000186866.17,GGAAAAAGGGRLuRdduiX/ouoou0RiRLd5LdLLRLGG,11
uterus,excluded_at_or_below_-1,ENSG00000124429.18,snw1/ws61nwdTKdKFFPTTAFFAFFAAAAAAAAFAAAF,13
vagina,excluded_at_or_below_-1,ENSG00000174348.14,NAANNGZNNNAAZggNy/Tmmg5yTgmgT//msyssNNAG,10
vagina,excluded_at_or_below_-1,ENSG00000143442.24,FAAQFKFFaaVgvvQVVggaVvgvQg/gvqKVKAgQFQAK,12
vagina,excluded_at_or_below_-1,ENSG00000143157.12,EAAAAAAEAAEEIIMInYcQQg7/jU3gYYrgQjIIEEAE,16
vagina,excluded_at_or_below_-1,ENSG00000163389.12,OEAAJAEAESASASOSSbSOkbogy/gooJbbWgSbJOSE,14
vagina,excluded_at_or_below_-1,ENSG00000114631.11,EEOSAAJbOJJy6y2ooyyWt/gkSJSEEAEAAAAAAAEE,14
vagina,excluded_at_or_below_-1,ENSG00000152359.15,EAAAAEAEAHEAEHPHTPPea/PsashTsh4aTLHEHHEH,17
vagina,excluded_at_or_below_-1,ENSG00000250329.1,DOUX/URLXOXDRLGUOADDAGDDAAAAADDAAGAAAADD,22
vagina,excluded_at_or_below_-1,ENSG00000128567.17,FAFFFFQAVVgKKla0v/lqgaqgqQV0qaVaaKVAFFAF,12
vagina,excluded_at_or_below_-1,ENSG00000178202.14,NAAANGATNmZGNggysmZ/ymsgyyygZymmZgsZAGGG,10
vagina,excluded_at_or_below_-1,ENSG00000139323.14,LGAALRdXdXXoR0u0R0/doXduddoioddGLGALRLAG,11
vagina,excluded_at_or_below_-1,ENSG00000270344.5,EAEESSSSJObkbkbSo/SkSE2SWggOSWOOOEEOSAJE,14
vagina,excluded_at_or_below_-1,ENSG00000134901.14,GANAGGTgT5gs5gZT5s/ssg/mgsgNyN5AZZNGAGAG,10
vagina,excluded_at_or_below_-1,ENSG00000132000.14,EEEAENININENNZRNZiyuRVmui/ZdiZZVAIEEAEAE,15
vagina,excluded_at_or_below_-1,ENSG00000101346.15,EAAAHHHAEEEHOKKVYScOqqj/jVqVSgESKKHEEAEE,18
vagina,excluded_at_or_below_-1,ENSG00000186866.17,NGAAGNTGTZNggm/ZgmysmNZg5sg5/sgTgGgZZANN,10
vagina,excluded_at_or_below_-1,ENSG00000124429.18,GLi/ooLLLGAGRGLRRXdddXRLudiuRioud/iLLRiL,11
