tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000244534.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,150
uterus,raw,ENSG00000275961.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,149
uterus,raw,ENSG00000244404.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,152
uterus,raw,ENSG00000264706.2,/AAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAA,148
uterus,raw,ENSG00000242201.3,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000244194.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,151
uterus,raw,ENSG00000264391.2,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB,148
uterus,raw,ENSG00000239472.3,/AABBBCFDBBEBEEBDDCBBABABBBAABABAAABAAAB,90
uterus,raw,ENSG00000266467.2,/AAAABAADBEBCBBBBCBBBCCABBBBABAAABABAAAB,106
uterus,raw,ENSG00000240202.3,/AAAAAAAAAAAAAAAAABAAAAAABAAAAAAAAAAAAAA,139
uterus,raw,ENSG00000242165.3,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000239820.3,/ACQaQKEQIQEMOIMKGECCKOCCEEGAAECACEAAAAC,31
uterus,raw,ENSG00000242066.3,/AAAAAAABAAAABBCACCAAACBBABAAABBACBBABAB,122
uterus,raw,ENSG00000240927.3,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000265386.2,/AABBBDDCACAACAAAABBAABBAAAAAAAAAAAAAAAB,123
uterus,raw,ENSG00000242251.3,/AAAAABABABBABAAAAAABAAAAAAAAAAAAAAAAAAA,132
vagina,raw,ENSG00000244534.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,167
vagina,raw,ENSG00000275961.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,168
vagina,raw,ENSG00000244404.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,169
vagina,raw,ENSG00000264706.2,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,164
vagina,raw,ENSG00000242201.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,168
vagina,raw,ENSG00000244194.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,168
vagina,raw,ENSG00000264391.2,/AAACABCCAADBBBAAAAAAAAAAAAAAAAAAAAAAAAA,128
vagina,raw,ENSG00000239472.3,/AAACGFCDHBDECECBBABABBBABBABABAAAABAAAB,94
vagina,raw,ENSG00000266467.2,/AAADCEDGCBCBBBCBCCAAACBBAABBBBAAABAAABB,103
vagina,raw,ENSG00000240202.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,168
vagina,raw,ENSG00000242165.3,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000239820.3,/AAAXeXbKRNeRreohRKUeNNKARAKHAAAKADAAAAH,19
vagina,raw,ENSG00000242066.3,/AAAAAAAAAAAABAABAAAABAAAAAAAAAAAAAAAAAA,155
vagina,raw,ENSG00000240927.3,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000265386.2,/AAAABCBDDCCDBBBBBBBCCBBAAAABAABBABAAABB,114
vagina,raw,ENSG00000242251.3,/AAAAAAABBBABABAAAAABAAAAAAAAAAAAAAAAAAA,147
uterus,excluded_at_or_below_-1,ENSG00000244534.3,/AAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAAAAAA/,1
uterus,excluded_at_or_below_-1,ENSG00000275961.1,/AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAA/A/,1
uterus,excluded_at_or_below_-1,ENSG00000244404.3,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,1
uterus,excluded_at_or_below_-1,ENSG00000264706.2,gAAAAA/gAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAg,2
uterus,excluded_at_or_below_-1,ENSG00000244194.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/,1
uterus,excluded_at_or_below_-1,ENSG00000264391.2,//AAAAAAAAAAAAAAAAAAAAAAAAAAA/AAAAAAAA//,1
uterus,excluded_at_or_below_-1,ENSG00000239472.3,KKVg/qKgggq0VKqggVVAKAAVKKAAKAKAAAKKAAAK,6
uterus,excluded_at_or_below_-1,ENSG00000266467.2,NAA/A/ymZNNNNNmNNZmZNNNNNNANAAAANAANAAAN,5
uterus,excluded_at_or_below_-1,ENSG00000240202.3,ggAAgA/A/AAgAAAgAAAggAAAAAgAAAAAAAAAgAAg,2
uterus,excluded_at_or_below_-1,ENSG00000239820.3,V/mEVRdNmEZdRZNRIEEZRNIAIINAAEIAEIAAAAAE,15
uterus,excluded_at_or_below_-1,ENSG00000242066.3,QAAAAQQggAQvvAAAAvAQQAQAAAAAQQA/QQAAQQAQ,4
uterus,excluded_at_or_below_-1,ENSG00000265386.2,JJS/tbAJSAbAAAAAJJAAASAAAAAAAAAAAAAAAAAJ,7
uterus,excluded_at_or_below_-1,ENSG00000242251.3,QgQgAA/AQgQAAQQQAQQAAAAAAAAAAAAQAAAAAAAQ,4
vagina,excluded_at_or_below_-1,ENSG00000244534.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/AAAAA/,1
vagina,excluded_at_or_below_-1,ENSG00000275961.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/,1
vagina,excluded_at_or_below_-1,ENSG00000244404.3,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,1
