tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000224980.1,/ABAEFJCBDHEBBDBBBBBBAABBAABAAAAAAAAAAAB,85
uterus,raw,ENSG00000261914.2,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000237450.5,/AAAAAAAAAABBAACAAAAAAABABAABAABAAAAAAAA,128
uterus,raw,ENSG00000241582.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABB,148
uterus,raw,ENSG00000241052.1,/AAAAAAAAAABABAAABAAAAAAAAAAABAAAAAAAAAA,139
uterus,raw,ENSG00000262959.2,/ADGXMJKMGKJEKGDDDEDBBDDDBEBAAAAAAADBAAB,43
uterus,raw,ENSG00000239840.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,143
uterus,raw,ENSG00000244283.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,152
uterus,raw,ENSG00000226156.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000240125.1,/AAAAEGIGEEGFFIEEDDDGKGGBEABEABBBFBADDEB,50
uterus,raw,ENSG00000227694.1,/AAFcrcPcINSUSPNFIIIFIFAIFFDAAAAFAAAAAAD,25
uterus,raw,ENSG00000267301.1,/AAAABBEDDBCBDBDBBBBCBBBABABBABAABBBBAAB,96
uterus,raw,ENSG00000269244.1,/AAAAAABCCDCAAAAAAAAAAAAAAAAAAAAAAAAAAAA,126
uterus,raw,ENSG00000213035.4,/AAABCGJHKECEEEEDCCBCBADCAAAABABAAAAAAAB,72
uterus,raw,ENSG00000242748.1,/AAAWJEbEtOOOOgSgbWSEgkkkSJbSOOJSOEJAJAE,14
uterus,raw,ENSG00000234135.2,/AAKFJEMMJHHSCEOCOHCEFEFJCFEEFECCCAEEECC,36
vagina,raw,ENSG00000224980.1,/AAAAAAABCCBFCBBBBBBACBBBBBBCBBACBBAABAB,110
vagina,raw,ENSG00000261914.2,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000237450.5,/AAAAAAAAAAAAABAABAAAAAAAAAAAAAAAAAAAAAA,154
vagina,raw,ENSG00000241582.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,164
vagina,raw,ENSG00000241052.1,/AAAAABAAAABBABAAABAABBBAAABAAAAAAAAAAAA,140
vagina,raw,ENSG00000262959.2,/AINWMINDKDIBEEFIBEFBEBDADEDBBAABDABAAAB,48
vagina,raw,ENSG00000239840.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,164
vagina,raw,ENSG00000244283.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,169
vagina,raw,ENSG00000226156.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000240125.1,/AADHGJIEHDEFGHBHDCDDFBCDADDAAACAACAAAAB,60
vagina,raw,ENSG00000227694.1,/ADPS6SSPoXUXNSSNKKAFDDKDDDDAAAADAAAAAAD,25
vagina,raw,ENSG00000267301.1,/AADGDIGDEHBEBCCDBBAABABBABAABAAAABAAAAB,86
vagina,raw,ENSG00000269244.1,/AAAAAAAABABBBAABCBBAAAABAAAAAAAAAAAAAAA,136
vagina,raw,ENSG00000213035.4,/AAAAAAABBBCDCCFCBCBBAAABABACBBABAAABBAB,112
vagina,raw,ENSG00000242748.1,/ADPXcSUSUZPSXPKUKPIIIFFDIIFDDDDAAADAAAD,25
vagina,raw,ENSG00000234135.2,/AAENNNHHOLELBGLBKJDBBDDBBBDBDEBEADAAEAD,44
uterus,excluded_at_or_below_-1,ENSG00000224980.1,FFd/TTKiiPKKTFKFKAFFAAFFAAFAAAAAAAAAAAAF,13
uterus,excluded_at_or_below_-1,ENSG00000237450.5,QAQQgAgAQ/QAAAAAAAAgAAgAQgAAQQAAAAAAQQAQ,4
uterus,excluded_at_or_below_-1,ENSG00000241582.1,/AAAAAAAAAAAAAAAAAAAAAAAAAA//AAAA/AAAAA/,1
uterus,excluded_at_or_below_-1,ENSG00000241052.1,/AAVqAAVqAAAVAAAAAAAVAAAAqAAAAAAAAAAAAAV,3
uterus,excluded_at_or_below_-1,ENSG00000262959.2,IZ/qNdiRdZIZRNINAREEIEIIEIIAAAAAAAANAAAE,15
uterus,excluded_at_or_below_-1,ENSG00000239840.1,///AA/AAAAAAA//AAAAAAA/AAAAA/AAAAAA/AAA/,1
uterus,excluded_at_or_below_-1,ENSG00000244283.1,AAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAAA,1
uterus,excluded_at_or_below_-1,ENSG00000240125.1,ggvYYnYYYnnYYIQQQg/ngIQQAIYAIIIIYIAQAYQI,8
uterus,excluded_at_or_below_-1,ENSG00000227694.1,Ru/qdiVRVVqdNVINNINIIEAREIEAAAAEEAAAAAAE,15
uterus,excluded_at_or_below_-1,ENSG00000267301.1,VK/0qKgA/KKgVVVKKVVKAKAKAKKKKAAAKKAKKAAK,6
uterus,excluded_at_or_below_-1,ENSG00000269244.1,KAgVg/gVAAAKAAAKKAAKAAKKAAAAAAAAAAAAAAAK,6
uterus,excluded_at_or_below_-1,ENSG00000213035.4,GNy5s/ZTNgZTZTNNANNAATGGAAAAGAAGAAAAAAAG,10
