tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000286957.2,qvlg6l6/0avglQgFaVVKFKKaKFAAAFFFAFAFAFAF,12
uterus,raw,ENSG00000286952.1,EEHOgOYVYcV/qVmOOYSKKgOEEEEAHEAAAEEAEAEE,18
uterus,raw,ENSG00000286956.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAA,140
uterus,raw,ENSG00000286961.2,/AAAAABABBAAABAAAAAAAAAAAAAAAAAAAAAAAAAA,140
uterus,raw,ENSG00000286953.1,/AAAABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,143
uterus,raw,ENSG00000286954.1,/MbbkbVwPJSYSJGPJGJGJAGGDADDAGDAGAAAADAG,21
uterus,raw,ENSG00000286946.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,152
uterus,raw,ENSG00000286955.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,151
uterus,raw,ENSG00000286945.2,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,149
uterus,raw,ENSG00000286958.2,/AAAAAAAAAABBAAAABAAAAAAAAAAAAAAAAAAAAAA,135
uterus,raw,ENSG00000286951.1,/BBEEIJFEBDACBABBAABABABAAAAAAAAAAAAAAAB,86
uterus,raw,ENSG00000286959.2,/DWTkTIhLQTbILTLLDFAFDFFFFILAFDDAFAFAAAD,23
uterus,raw,ENSG00000286960.1,/ABACCBCCDBABBBAAAABBAAAAAAABAAABAAAAAAB,119
uterus,raw,ENSG00000286948.1,/AEXQMEJMHJHJKMHJFKHECACECFCCEAACCAACACC,36
uterus,raw,ENSG00000286950.1,/AAABBCCCBCCCFBCBAAABBBBBABABAAAAAAAAAAB,109
uterus,raw,ENSG00000286947.1,/EFFMKDCFCDBCBAAAABAAAAAAAAAAAAAAAAAAAAB,81
vagina,raw,ENSG00000286957.2,/RjhLeYWNPLLLHJEEEJAEHEECCAACCCCAAAAAACC,29
vagina,raw,ENSG00000286952.1,uV3mZ3q/d7dRdidmIIRNEIRENEAAEAAAAAAAAAAE,15
vagina,raw,ENSG00000286956.1,/AAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAABAAA,157
vagina,raw,ENSG00000286961.2,/AAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAAA,158
vagina,raw,ENSG00000286953.1,/ABAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,160
vagina,raw,ENSG00000286954.1,/KJRUKEFFJEEDCBEABABBCAAAAAABAAAAABBABAB,59
vagina,raw,ENSG00000286946.1,/AAAAAAABAABAAABAABAAAAAAABAAAAAAAAAAAAA,154
vagina,raw,ENSG00000286955.1,/AAAAABABABABABBAAAAAAABAAAABAAAAAAAAAAB,135
vagina,raw,ENSG00000286945.2,/AAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAABAAA,155
vagina,raw,ENSG00000286958.2,/ACEDAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,145
vagina,raw,ENSG00000286951.1,/OYgPOPJPKHHOFOCFCCFFADCDAAAAACAAAAAAAAC,37
vagina,raw,ENSG00000286959.2,/IMJMRKEIHGEECAGAADBBBABABABBACBAABAAAAB,57
vagina,raw,ENSG00000286960.1,/AAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,157
vagina,raw,ENSG00000286948.1,/FfaTXTKTLCKDFKFFAACDACAACAAAAAAAAAAAAAC,39
vagina,raw,ENSG00000286950.1,/AABBBCCBDCBDCDBBABBAABBAAABBAAAAAAAAAAB,124
vagina,raw,ENSG00000286947.1,/AAEEFDEEJBACBABCAEAEBABABABBAABABAABBAB,90
uterus,excluded_at_or_below_-1,ENSG00000286957.2,0gg6l06/VvlaQVaKgVKFFVVKFFAAFAFFAFFAAFAF,12
uterus,excluded_at_or_below_-1,ENSG00000286952.1,KHVVOYYVcS/qSjVOVSKOcHOAHEAHEAAAAEEAEAEE,18
uterus,excluded_at_or_below_-1,ENSG00000286956.1,/AgAgAAAgAgAAAAAAAAAgAAgAAgAAAggAAAAAAgg,2
uterus,excluded_at_or_below_-1,ENSG00000286961.2,q/AqAAVVqAAAVAAAAAAAAAAAAAAAAAAAAAAAAAAV,3
uterus,excluded_at_or_below_-1,ENSG00000286953.1,//A/AAAAgAgAAAAAAAAAAAAAAAAAAAAAAAAAgAAg,2
uterus,excluded_at_or_below_-1,ENSG00000286954.1,Ywsw1n/YPdiiKPPYFPPFKKKFAAKAFFFKAAAAAFAK,13
uterus,excluded_at_or_below_-1,ENSG00000286946.1,AAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAAA,1
uterus,excluded_at_or_below_-1,ENSG00000286955.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/,1
uterus,excluded_at_or_below_-1,ENSG00000286945.2,gAA/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAg,2
uterus,excluded_at_or_below_-1,ENSG00000286958.2,/A//AggAA/ggAAgAAAAgAgAgAAgAAAAAAAAAAAAg,2
