tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000274840.6,/AAAAABADAAAACBAAABAAAAAAAAAAAAAABAAAAAA,126
uterus,raw,ENSG00000030110.14,EAAEAEEAEEJJJESOSSgObo/okobtgkWOSObOJEAJ,14
uterus,raw,ENSG00000006453.14,FAFFAAaAQQgalla0/aq00lagQlVFQaFFQKQAAAKF,12
uterus,raw,ENSG00000278910.6,/AABACCBCAABCBDCBCBACBBBCBBABAABAAAAAAAB,103
uterus,raw,ENSG00000095739.11,FAFFFAVAVlaggaQv/vvqgKgFgVaVgQgKKKAQKAFF,12
uterus,raw,ENSG00000230306.1,tAE/tWOotJOttkWWOJWOSWbOJSJJAEEEAEAEEAAE,14
uterus,raw,ENSG00000175334.8,EAAAAEHSEHAKjqc0/gmOYYVOVVKOAHAHEEEAAAAE,18
uterus,raw,ENSG00000236616.3,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000258531.2,/AADLNGMGEGBJCDBBCCDABABBABAAAAAAAAAAAAB,63
uterus,raw,ENSG00000140320.12,KAAAFQAaFQKAavqVag6VglQa0Q/alaaQQKQFFFFF,12
uterus,raw,ENSG00000007516.15,FKKPddwid/wis1YYdTsPPYdPKFTAAAAAFAAKAAAF,13
uterus,raw,ENSG00000226137.6,NAGGNNNGNTTZN5sNT5s5sgN55gsg/GGZgNGANTNN,10
uterus,raw,ENSG00000175866.16,EENIIRZZVN/did37VRZiNRNVVIIENIAAAEAAAAEE,15
uterus,raw,ENSG00000266074.11,LAAXALRGGRdi0Giu/iuoodu05LddRXARRGLGAAGG,11
uterus,raw,ENSG00000175730.8,FFAAAFQQVFVQaga6q/lqQaqa0laQgQQKQQFAFAFF,12
uterus,raw,ENSG00000128298.18,GGLRGXid0iu/5u50ou0ouRoXLGGAAGAAAAAAAAAG,11
vagina,raw,ENSG00000274840.6,/EEDCACBAAABAAAAAAABABAAAAAAAAAAAAAAAAAA,126
vagina,raw,ENSG00000030110.14,EAAAAEHAAPLP00l/s7whhPaWTWTHEAEAHAEAAAAE,17
vagina,raw,ENSG00000006453.14,cHESOHKKAKKAAAKHEOHYKYmOj/4cmjOOOAOEAAEE,18
vagina,raw,ENSG00000278910.6,/AABBBBCCABABAAAAABBAAAAAAAAAAAAAAAAAAAB,133
vagina,raw,ENSG00000095739.11,FAFKAFVaaggvlVqa6gq/6qvKlF0qVFKQAAAFAFAF,12
vagina,raw,ENSG00000230306.1,/AWcTDWWTJgZgJmJNGNGTQJQNQNTAGNAAADAAAAD,20
vagina,raw,ENSG00000175334.8,FAAAAAAPPYTPTTTw1iTdn1w/iidndTPTKFTFKFFK,13
vagina,raw,ENSG00000236616.3,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000258531.2,/ABJHNGHEHHBEEHCCBBEEDDBBBBABABAABBBABAB,62
vagina,raw,ENSG00000140320.12,EEAAEAEAEEEOEWgkEWttgg6bg/og6ggWSJEAJEAE,14
vagina,raw,ENSG00000007516.15,KKPYFPKdnYiYiwn/ddiFnnYTidTKTPTKFKAKAAAF,13
vagina,raw,ENSG00000226137.6,OAAVHHAcc4Hc/cqqVq4c/V/44xxqx4jHjHVAHVOV,9
vagina,raw,ENSG00000175866.16,JEAOAOEESoJJAbObWJJSJoWObWgbggb/kSobgJAE,14
