tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000229106.1,/ABAHHDCEBEFDDBBBAACAAABABABAAAAAAAAAAAB,86
uterus,raw,ENSG00000222009.10,EAAAEIAAEIAAEUMcUYjg/jgYggjUIMYUYUIEIAAE,16
uterus,raw,ENSG00000219433.2,0Vlg/0gggagV0vQgFggVQKQVKKFFFFAKFAKAAAAF,12
uterus,raw,ENSG00000095564.15,FAFAAFFKKQVKKVagll6//g0qgl0VKKQKAFQFAQAK,12
uterus,raw,ENSG00000138152.10,/YcOgcSYxYOVSOYHOOHSHSOEAHHHAEAAEAEEAAAE,18
uterus,raw,ENSG00000148925.11,FAFFAAAAAAAFKAPPiKPdPdd6wYiinYs/iidYKFKK,13
uterus,raw,ENSG00000233436.8,dPFsK6sw6d6/wnwdKAKPTAYFKFFAFAAAAAFAAAAF,13
uterus,raw,ENSG00000188909.5,/AAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAA,144
uterus,raw,ENSG00000257675.1,/AAABEEEABBBBBBABBBCBBBAABAAAAAAABBAAAAB,108
uterus,raw,ENSG00000184887.14,NAAAGANTTTgy/ymgm/T5gs5smGggTNZNNTZGAGGG,10
uterus,raw,ENSG00000064726.10,FAAAFVqQQKlll0al0/qq6gvaQQVKFVFAAAAAAAAF,12
uterus,raw,ENSG00000204347.4,/BLVKKGEONKHHEBEHHDABAABDBAABAAAAAAABABB,44
uterus,raw,ENSG00000133243.10,FAAAAAFFAAKgFaQVlqla06g/lVlaa6KaKAQFgFQF,12
uterus,raw,ENSG00000130303.14,EAEIIIERRdVZiNiZmimim/IIdVRNINEEAAEEAIAE,15
uterus,raw,ENSG00000132640.15,QFKAFVKA/agaqQqql06q0aqVaQKAKKQKFAAAAAFF,12
uterus,raw,ENSG00000236526.2,FFAAYAKFTPPPYnPdwY/s/dniTTPPYKTTKKAAFAKF,13
vagina,raw,ENSG00000229106.1,/EHIHEGFFACEBABBABBABAAAAAAAAAAAAAAAAAAB,89
vagina,raw,ENSG00000222009.10,GAAAAARRLRGXoXid0oi0/i5ui0id5RXRRdRRGGAR,11
vagina,raw,ENSG00000219433.2,RGGdGLRRRdoXX0duiX0o0d/doddidLLGLXRRARGG,11
vagina,raw,ENSG00000095564.15,EAAAAAAAAEEAAEKKKYcVcxqj/qujVcVgKAEKEAEE,18
vagina,raw,ENSG00000138152.10,///3XthUUNIFDDDAAAAAAAADAAAAAAAAAAADADAD,25
vagina,raw,ENSG00000148925.11,KAAAAAYAPPPTiwdwd/swn1s/iwdYKFKAKKAAAAAF,13
vagina,raw,ENSG00000233436.8,/UUohkhXhbohXUNXDNNKKDDDHAHAAADDAAAAAAAD,19
vagina,raw,ENSG00000188909.5,/AAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAA,162
vagina,raw,ENSG00000257675.1,/AEJKLEEJFEDECCABABAABBAABAAAAABAAAAAAAB,76
vagina,raw,ENSG00000184887.14,DAAAAAAAAAAHADNKAHUUb4hooXke/hXKUURAHAAD,19
vagina,raw,ENSG00000064726.10,OAEEAEESJOObSOWOoyWoo/2gogobSOWJJEJOAAAE,14
vagina,raw,ENSG00000204347.4,/PSNVLPKNTKCKKDFFFCFACACGCCDAAAAAAACAAAF,39
vagina,raw,ENSG00000133243.10,EAEEEIAEEVVAddiNimVmdZ/qVRRRuVZZIIEEARIE,15
vagina,raw,ENSG00000130303.14,FPKFKFYTKKdYTKTdiswddnd/Ki1YKYFTPYdAKFAF,13
vagina,raw,ENSG00000132640.15,EAAAAAMEMIgUcrg3zn/gUjQgQQjMMMMEIAAAAAEE,16
vagina,raw,ENSG00000236526.2,TATZgmmy5ss55smmgs/gmgZZsNgTGTGGANGGAAGG,10
uterus,excluded_at_or_below_-1,ENSG00000229106.1,GX/oRRXRRoXRRGGGAGLAAALAGAGAAAAAAAAAAAAG,11
uterus,excluded_at_or_below_-1,ENSG00000222009.10,EAAAEIAAEIAAEUMcUYjg/jgYggjUIMYUYUIEIAAE,16
uterus,excluded_at_or_below_-1,ENSG00000219433.2,ud//doduRidu0RiGiddLLXLRLLGGGAALGALAAAAG,11
uterus,excluded_at_or_below_-1,ENSG00000095564.15,FAFAAFFKKQVKKVagll6//g0qgl0VKKQKAFQFAQAK,12
uterus,excluded_at_or_below_-1,ENSG00000138152.10,/QWJjTNjmWGZNNTJNJGTDWGDAGGGADAADADDAAAD,20
uterus,excluded_at_or_below_-1,ENSG00000148925.11,FAFFAAAAAAAFKAPPiKPdPdd6wYiinYs/iidYKFKK,13
uterus,excluded_at_or_below_-1,ENSG00000233436.8,OEkJt2toko/otgoSAEESOEWAOAEAEAAAAAEAAAAE,14
uterus,excluded_at_or_below_-1,ENSG00000188909.5,/AAAAAAAAAAAAAA///AA/A//AAAAAAAAA/AAAAA/,1
uterus,excluded_at_or_below_-1,ENSG00000257675.1,k22/AAbJJSJJAASJSJSAJAAJAAAAAAAAASAAAAAJ,7
uterus,excluded_at_or_below_-1,ENSG00000184887.14,NAAAGANTTTgy/ymgm/T5gs5smGggTNZNNTZGAGGG,10
uterus,excluded_at_or_below_-1,ENSG00000064726.10,FAAAFVqQQKlll0al0/qq6gvaQQVKFVFAAAAAAAAF,12
uterus,excluded_at_or_below_-1,ENSG00000204347.4,UU/gQQMnjcQUQAIYUMAAEAEIAEAEAAAAAAAAEAEE,16
uterus,excluded_at_or_below_-1,ENSG00000133243.10,FAAAAAFFAAKgFaQVlqla06g/lVlaa6KaKAQFgFQF,12
uterus,excluded_at_or_below_-1,ENSG00000130303.14,EAEIIIERRdVZiNiZmimim/IIdVRNINEEAAEEAIAE,15
uterus,excluded_at_or_below_-1,ENSG00000132640.15,QFKAFVKA/agaqQqql06q0aqVaQKAKKQKFAAAAAFF,12
uterus,excluded_at_or_below_-1,ENSG00000236526.2,FAQKKAQaFQVglKlvg/q/llqQVQQVKaKQQFAFAAKF,12
vagina,excluded_at_or_below_-1,ENSG00000229106.1,/6sTndwKATTKAFKAFFAFAAAAAAAAAAAAAAAAAAAF,13
vagina,excluded_at_or_below_-1,ENSG00000222009.10,GAAAAARRLRGXoXid0oi0/i5ui0id5RXRRdRRGGAR,11
vagina,excluded_at_or_below_-1,ENSG00000219433.2,GmAGgGZGmmZg/gsgZ5sym5sgmTmsGZGNGZNTATGG,10
vagina,excluded_at_or_below_-1,ENSG00000095564.15,EAAAAAAAAEEAAEKKKYcVcxqj/qujVcVgKAEKEAEE,18
vagina,excluded_at_or_below_-1,ENSG00000138152.10,z2/sXqeXMQHAFACAAAAAAAACAAAAAAAAAAACACAC,27
vagina,excluded_at_or_below_-1,ENSG00000148925.11,KAAAAAYAPPPTiwdwd/swn1s/iwdYKFKAKKAAAAAF,13
vagina,excluded_at_or_below_-1,ENSG00000233436.8,glv/0vq0v6qvaalQKVVQFKAQAFFAAFAFAAAAAAAF,12
vagina,excluded_at_or_below_-1,ENSG00000188909.5,/AAAAAA//AA/AA/AAAAAAAAAAAA/AAAAAAAA/AA/,1
vagina,excluded_at_or_below_-1,ENSG00000257675.1,1s//AnwTYPYTKAAFAFAAKAAAFAAAAAAFAAAAAAAF,13
vagina,excluded_at_or_below_-1,ENSG00000184887.14,DAAAAAAAAAAHADNKAHUUb4hooXke/hXKUURAHAAD,19
vagina,excluded_at_or_below_-1,ENSG00000064726.10,OAEEAEESJOObSOWOoyWoo/2gogobSOWJJEJOAAAE,14
vagina,excluded_at_or_below_-1,ENSG00000204347.4,s1n/dwdY6nKTYPYFPKTAFAFKPAFKAAAAAAAFAAAP,13
vagina,excluded_at_or_below_-1,ENSG00000133243.10,EAEEEIAEEVVAddiNimVmdZ/qVRRRuVZZIIEEARIE,15
vagina,excluded_at_or_below_-1,ENSG00000130303.14,FPKFKFYTKKdYTKTdiswddnd/Ki1YKYFTPYdAKFAF,13
vagina,excluded_at_or_below_-1,ENSG00000132640.15,EAAAAAMEMIgUcrg3zn/gUjQgQQjMMMMEIAAAAAEE,16
vagina,excluded_at_or_below_-1,ENSG00000236526.2,dLdiiui0oou0Riudi/XdXXRiRiLLRGAGALLAAAGG,11
