tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000092850.12,VKaVKVKvgqaq6Kqa/qgFVggVaQAKQKAAFAAKAFAK,12
uterus,raw,ENSG00000163060.8,/BJDIIDCDFEDDBAACADBAACABABADABAABAAABBB,74
uterus,raw,ENSG00000271435.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,150
uterus,raw,ENSG00000283625.1,/ADBDDBCBBAAAABBBABAAAABAAAAAAAAAAABAAAB,121
uterus,raw,ENSG00000120156.22,FAFFATPPTddPKPPwd1nidYw/dKiPATTKTKAFAAAK,13
uterus,raw,ENSG00000100726.15,EEEEOSOSWtEWgtkJgo/SkSWyWkEJEAWEAEAAAAAE,14
uterus,raw,ENSG00000153060.8,/CPNPaWLJPLRLANHHJHLHECJCAACACECCEAEAACC,29
uterus,raw,ENSG00000167858.13,/siTSKGFGGFFCDDCAAADCCAAACDCAAAACAAAAAAC,39
uterus,raw,ENSG00000125409.13,NZNyy5Z/gN/m5sAT/mgZmZATTNyGgGAGNANAAAAG,10
uterus,raw,ENSG00000172171.11,GAAAGGAGTZGNZmTs5m//yg5ggsZyTgTTNZmTGNAG,10
uterus,raw,ENSG00000257949.7,EAEAAEEOSAOOkOkg6/ogkkbJbgoObOJOEEEAAAAE,14
uterus,raw,ENSG00000183397.6,GAAGAGLLLRiLudXXi0/io5X0RGXLXX/RGdRXGALL,11
uterus,raw,ENSG00000160994.4,/ABBCGFDCBBABAAABAAAAABAAAAAAAAAAAAAAAAB,110
uterus,raw,ENSG00000291050.2,OJEbOogbbgbbk/bkWEWgkgAOOAOASEAJOAEAAEAE,14
uterus,raw,ENSG00000188681.14,/MYcgUUYYUUUncQQjIUMcMAEIEEEAEIAMEIEEIEI,16
uterus,raw,ENSG00000167074.15,RGLGAGLLLXiRiXLdudduod//iiXod0RGLGGGAGGG,11
vagina,raw,ENSG00000092850.12,QQnnr77Qv/jrngUYYQEEIIEEAAAAAAAAEAAAAAAE,16
vagina,raw,ENSG00000163060.8,/EPLSJEJKEFCDCDCEBABBAAAAAAAAABAAAAAAAAB,61
vagina,raw,ENSG00000271435.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB,167
vagina,raw,ENSG00000283625.1,/AEGICDIDECGBACDBEBBBCBBBAACBBABAABABAAB,82
vagina,raw,ENSG00000120156.22,GTZGNTZZsgZmsZgmy/g/s/TZZsggG/ZNTGNAGAGG,10
vagina,raw,ENSG00000100726.15,EAAAAAAAAAEAAEEIINIZRy7uyy/qRqudiRNZREAN,15
vagina,raw,ENSG00000153060.8,/GQZpTWcmyWZTjJTJQJGNGJDDDADAGAAAAADDAAD,20
vagina,raw,ENSG00000167858.13,/XNEDBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB,100
vagina,raw,ENSG00000125409.13,NGZgg/Zss//yygZZy55mTsmmZGNNGNGNGANAGGGG,10
vagina,raw,ENSG00000172171.11,FFAKAKAFKaFKgQgV0Vqv60g/0vaQaggVKaVQFAAF,12
vagina,raw,ENSG00000257949.7,EAAAEAAESOOJWOtSWbbb/bt6ootoWWOSOJJSAEAE,14
