tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000233008.9,/anVtidYaVIKIADKFADFDFAADAADAAADDAAAAAAD,24
uterus,raw,ENSG00000233396.10,HP0h/wwwlleeaLLhEEHAAEAHAAAEAAEAAAAAAAAE,17
uterus,raw,ENSG00000237292.2,/AEKEHFIEHDEHEBCBBCFABBABAACBAAAAAAAAAAB,66
uterus,raw,ENSG00000231175.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000227421.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,148
uterus,raw,ENSG00000261453.2,/AAAAACAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAA,137
uterus,raw,ENSG00000275491.2,/CKSKKIQSGMICOIEOQOECGCEEGCCEGAGCCAAAAAC,31
uterus,raw,ENSG00000233048.1,/AAAABCCBBCBABDBCABBBABAAABAAAAAAAAAAAAB,118
uterus,raw,ENSG00000234265.3,/PhnkYeSeMYMGPJVJJJGGDDDAAGDDAGAAAAADAAD,21
uterus,raw,ENSG00000279082.6,/ABCFFCCBACBBBBABAAAAAABAAAAAAAAAAAAAAAB,109
uterus,raw,ENSG00000280350.2,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000230133.3,/AAFFBBBCBBBBABABBBAABBBAAAAAAAAAAAAABAB,110
uterus,raw,ENSG00000226203.3,/AAAABCABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,135
uterus,raw,ENSG00000230324.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,149
uterus,raw,ENSG00000233277.2,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,150
uterus,raw,ENSG00000229606.3,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,149
vagina,raw,ENSG00000233008.9,Qtt/ltaYQiVVNKDAIDIAFAAAAAAAAAAAAADAAAAD,24
