tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000272420.1,JAJJJSOWbbbOktJ/WWOWkSgbObSEOOJSAOEEEEEE,14
uterus,raw,ENSG00000272426.2,gES/g22S6Sg/OSWSJOSOSJSWJAOEEEAJAAAAAAAE,14
uterus,raw,ENSG00000272432.1,KAPAKTFAKPPdTiiYsns/idYniKYTFPTKFFYAAKAK,13
uterus,raw,ENSG00000272405.1,MAEcQQgUgnncv/cIYnQgIEIIEUEEIEAAIAAAAAAE,16
uterus,raw,ENSG00000272434.2,GALRARRXGiLXuoui/50ii0RuuXuLLAGLRAAGAAAL,11
uterus,raw,ENSG00000272417.1,qgl0vQ0qQ0Val/qVlgVFAAgVKFKFFAAKAFAAAAAF,12
uterus,raw,ENSG00000272416.1,KFAAKKTPTPnw6TKY/iYPYsPidTKFPKPKKYYAKAAK,13
uterus,raw,ENSG00000272406.2,/AAABCBCCCACACBCCABBABBACBABBAAAABAAAAAB,105
uterus,raw,ENSG00000272411.1,/ABEFBCDCCCCBBBCAABAABABAAAAAAAAAAAAAAAB,101
uterus,raw,ENSG00000272402.1,aFaAKFaKa/g0vgVl6QgaVFaQKgFVgQgFKAFFAAFF,12
uterus,raw,ENSG00000272428.1,/BECEEEDEDDDABBBBBCBBAABAAABAAAAABAAAAAB,90
uterus,raw,ENSG00000272397.1,/AABECBCFECBBACABBABABABAAAAAAAAAAAAAAAB,101
uterus,raw,ENSG00000272425.1,g22o/6g2WtJSSkWWJOSOJSEEAEEEAAAAAAAAAAAE,14
uterus,raw,ENSG00000272400.1,/AAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAAAAAAAA,142
uterus,raw,ENSG00000272396.1,/AAAAAAAAABAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,143
uterus,raw,ENSG00000272407.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
vagina,raw,ENSG00000272420.1,KAAAAAFKTndddiwnw/1isdPPiddiPTPPPAFFAFAP,13
vagina,raw,ENSG00000272426.2,/Oootktoygoy6SgbWJEJOOOAOAJAJJAAAAEAAAAE,14
vagina,raw,ENSG00000272432.1,FFQAaVKF/qalq/V0l6a/gl0K0KKFaQAFAAAFFAAF,12
vagina,raw,ENSG00000272405.1,NVRZmdyu7/3ZmyINEddNNRNEEEEEIEAAAAEAAAAI,15
vagina,raw,ENSG00000272434.2,FAAFQQV0vlaglv0a60//vaVaQlFKKKAAFFKAAAAF,12
vagina,raw,ENSG00000272417.1,/PbVbkSeMbVPeMGGYPMJMJGGJGJGAGDAGAAAAAAG,21
vagina,raw,ENSG00000272416.1,OjVOc/x/qxqxx44x4/jHc/HjcVccHO4AOHAAAHAH,9
vagina,raw,ENSG00000272406.2,/ADGDFECFGKBCCCBACBEBBACBCCAAAAAAAAAAAAB,84
vagina,raw,ENSG00000272411.1,/CLXLLPKVTNPPINKKECNAIEAECCGCAEAACAAAAAC,33
vagina,raw,ENSG00000272402.1,TAAGGAATTTNmZmssy//symyZg5ysZggggNTGGGAN,10
vagina,raw,ENSG00000272428.1,/GGOWIOQKIQOISKQMEIIEEIGIEGACECCAAEAAACC,32
vagina,raw,ENSG00000272397.1,/ABBBBDCEBDCCBBBCBBBABBABABAAAAAAAAAAABC,114
vagina,raw,ENSG00000272425.1,TLTsepwWsep/lWLPePPHHLEEAEEEHHEEEAAAAAAE,17
vagina,raw,ENSG00000272400.1,/AAAAAAABBAABBABAABAAAAAAAAAAAAAAAAAAAAA,149
vagina,raw,ENSG00000272396.1,/AAAAAACBBABBABAABAAAAABBAAAAAAAAAAAAAAA,139
vagina,raw,ENSG00000272407.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
uterus,excluded_at_or_below_-1,ENSG00000272420.1,JAJJJSOWbbbOktJ/WWOWkSgbObSEOOJSAOEEEEEE,14
uterus,excluded_at_or_below_-1,ENSG00000272426.2,OS/gyyS6Sg/OJgSJOSJWJOWOAEOAEEAJAAAAAAAE,14
uterus,excluded_at_or_below_-1,ENSG00000272432.1,PFPKFAKPKYTnddiiss/KididKTPPPKTFAPPAFFFF,13
uterus,excluded_at_or_below_-1,ENSG00000272405.1,MAEcQQgUgnncv/cIYnQgIEIIEUEEIEAAIAAAAAAE,16
uterus,excluded_at_or_below_-1,ENSG00000272434.2,GALRARRXGiLXuoui/50ii0RuuXuLLAGLRAAGAAAL,11
uterus,excluded_at_or_below_-1,ENSG00000272417.1,0/udooii5Ldu5udiiXGAAXdLGRGGAAALAGAAAAAG,11
uterus,excluded_at_or_below_-1,ENSG00000272416.1,KFAAKKTPTPnw6TKY/iYPYsPidTKFPKPKKYYAKAAK,13
uterus,excluded_at_or_below_-1,ENSG00000272406.2,gggv//A/AAv/vgAQQQQgAAvQAQAQAAAAQQAAAAAQ,4
uterus,excluded_at_or_below_-1,ENSG00000272411.1,n/nQQnQgYgQIIQIAQAAAIAIAAAAAAAAAAAAAAAAI,8
uterus,excluded_at_or_below_-1,ENSG00000272402.1,aFaAKFaKa/g0vgVl6QgaVFaQKgFVgQgFKAFFAAFF,12
uterus,excluded_at_or_below_-1,ENSG00000272428.1,/btttkktkbbJJJJJJbSAAAJAAAJAAAAAAJAAAAAJ,7
uterus,excluded_at_or_below_-1,ENSG00000272397.1,OxcHV/jjHOHHOAOOAHHAHAHAAAAAAAAAAAAAAAAH,9
uterus,excluded_at_or_below_-1,ENSG00000272425.1,k6ty/oW2boESSobOESWEJSEEAJAEAAAAAAAAAAAE,14
uterus,excluded_at_or_below_-1,ENSG00000272400.1,/AAAA/A/////AA/A/AAAAAAAAAAAAA/AAAAAAAA/,1
uterus,excluded_at_or_below_-1,ENSG00000272396.1,gAg/AggAgAAgAAAAAAAAAAAAgAAAAAAAAAAAAAAg,2
vagina,excluded_at_or_below_-1,ENSG00000272420.1,QAgqVaQqaqgv/qllvQaKVaaaaVQaFKQKAFFAFAAQ,12
vagina,excluded_at_or_below_-1,ENSG00000272426.2,iu500u05uu//iioXLLLLRLLARLALGGAAAAGAAAAG,11
vagina,excluded_at_or_below_-1,ENSG00000272432.1,QFVVKFl0lVg00Q0l0g/alvVqVKAKaKFAAAAFFAAF,12
vagina,excluded_at_or_below_-1,ENSG00000272405.1,NVRZmdyu7/3ZmyINEddNNRNEEEEEIEAAAAEAAAAI,15
vagina,excluded_at_or_below_-1,ENSG00000272434.2,FKQVqqvVgaqlva6q//vaQaVVaFKKKAAFFFFAAAAF,12
vagina,excluded_at_or_below_-1,ENSG00000272417.1,/uX/5o0R0iouXLLudLXXXAXGXLLGALGLAAAAAAAL,11
vagina,excluded_at_or_below_-1,ENSG00000272416.1,OjVOc/x/qxqxx44x4/jHc/HjcVccHO4AOHAAAHAH,9
vagina,excluded_at_or_below_-1,ENSG00000272406.2,sddTYKsY/FKPFKAFFKYFAAKKFKAAAAAAAAAAAAAF,13
vagina,excluded_at_or_below_-1,ENSG00000272411.1,WygboWb/StWgbbOWJEgAJOEJEEJEEEEAAEAAAAAE,14
vagina,excluded_at_or_below_-1,ENSG00000272402.1,TAAGGAATTTNmZmssy//symyZg5ysZggggNTGGGAN,10
vagina,excluded_at_or_below_-1,ENSG00000272428.1,ZN/yZ5sZZysTymysNZTGNTggGGTAGTGAAANAAAGG,10
vagina,excluded_at_or_below_-1,ENSG00000272397.1,SJJtkb/JtkSJSSbASAJJJJAJASAAAAAAAAAAAAJb,7
vagina,excluded_at_or_below_-1,ENSG00000272425.1,WSkttykoy/o/kWSbbJSJJOEEAJAJJJAEEAAAAAAE,14
vagina,excluded_at_or_below_-1,ENSG00000272400.1,/qVqVVVqVqqAAqAAAAAAAAAAAAAAAAAAAAAAAAAV,3
vagina,excluded_at_or_below_-1,ENSG00000272396.1,v/AvQgvAvAAAgQQAAQAAvQAAAQAAAQAAAAAAAAAQ,4
