tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000213088.14,FFAAFFFFKVFQVQQVV6qgv0/00q/VaFKKFKFAAKKF,12
uterus,raw,ENSG00000153086.14,/DZwKUScUePNZAIIFFIFAFFADDFAAADAAAAAAAAI,25
uterus,raw,ENSG00000180105.11,/AAAAAAAAAAAAAAAABBAAAAAAAAAAAAAAAAAAAAA,139
uterus,raw,ENSG00000144476.6,FTTKFKTKKTKdi/sisKwsPnTYFPYFPKdFFFKAKPFF,13
uterus,raw,ENSG00000144648.16,IUgMgUgrgc/cgcQYQnIIQIMQIEMEEAAAAAAAAAAE,16
uterus,raw,ENSG00000129048.7,EEIRdZuiNqiuVZVdVd/IVVNRAENIIAEAAAIAAAAE,15
uterus,raw,ENSG00000225415.2,/Sok/ygyOObggbWOSgOkEOJEAEAEAAEEAAAAAAAJ,14
uterus,raw,ENSG00000087085.16,HHOVVHqHxVjx/cjHqxj4x/qxOcjqccVOVHHVAAAH,9
uterus,raw,ENSG00000177076.6,KTKYdddd6s1ni/isYTYYPKTAAKKYAAAAFAAAAFAF,13
uterus,raw,ENSG00000122729.19,EAAEEEJEEOWSgoo2/yyyWygWbSWAEJJAAAAAAAAE,14
uterus,raw,ENSG00000227411.1,/AAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAAAAA,149
uterus,raw,ENSG00000078124.13,FAAFFAKAPKTiiKPin1Y1/ndi1dPYTdKKFFAFFAAF,13
uterus,raw,ENSG00000100813.15,GAGGAAGLALRLAddddRuu5X/5ouu5iiRdLXXAGAGG,11
uterus,raw,ENSG00000131473.17,FAFAKAVaKQVQlaVQalgVQaalgv/0lqQFKFKKKFAF,12
uterus,raw,ENSG00000235485.1,/AAABBABCCDBBBBBBBCBCBBBAAABAAAABAAAAAAB,112
uterus,raw,ENSG00000100412.17,DAAAAADADDJPJMGMSnhbebS/SeSbJMAJADAAAAAD,21
vagina,raw,ENSG00000213088.14,OJOAAOAOJSSSWWWbWytgbkW/b/WbWJbSJEEAAJAE,14
vagina,raw,ENSG00000153086.14,/APVYKFFSGEEIDJDBEDAAAABBDBAAAAAAABAABAB,50
vagina,raw,ENSG00000180105.11,/AAAAAAAABAAABAABABAAAAAAAAAAAAAAAAAAAAA,153
vagina,raw,ENSG00000144476.6,KKKTKKPYKTTnP/siidi16nTddKdPPFKAKKKKKFFK,13
vagina,raw,ENSG00000144648.16,ENEERIZNNZZZ/Zm7iqViVdRRRVZNEEERAEIEIAAI,15
vagina,raw,ENSG00000129048.7,IAVZmq/qi3Z3yNquVVEVIIIEIIEEIAEEEEAAEAAE,15
vagina,raw,ENSG00000225415.2,/FNLPNHNJLIAFFCBABCADABBBBABAAAAAAAAABAB,55
vagina,raw,ENSG00000087085.16,K0lvKqlvqg0/llvvqg0VVKKAQFAKFAKAAFAAAFAF,12
vagina,raw,ENSG00000177076.6,DAADFFSty/w3jjUINFDAFAAAAAADAAAAADAADAAD,25
vagina,raw,ENSG00000122729.19,GAAAALALGL0Ridudd/i0Xdiiouii/RdXiRLLdGLR,11
vagina,raw,ENSG00000227411.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,168
vagina,raw,ENSG00000078124.13,EAAAEAIQMEQIYjjnrYg/njYnYYYUcMEIIEIAAAAE,16
vagina,raw,ENSG00000100813.15,FAAKAAFKidYYwT6wss61nwn/ndPFFKKAAFAAAAAF,13
vagina,raw,ENSG00000131473.17,EEAEAESEESgkgyt662/tgbkOOSEWJWJAEEAAAEEE,14
vagina,raw,ENSG00000235485.1,/AAAAAABABABAABCAAAAAAAAAABAABAAAAAAAAAA,142
vagina,raw,ENSG00000100412.17,EAEAAAAEMAEUEQIQIjYMjrg3/7jjYgQcQMAEIAAE,16
uterus,excluded_at_or_below_-1,ENSG00000213088.14,FFAAFFFFKVFQVQQVV6qgv0/00q/VaFKKFKFAAKKF,12
uterus,excluded_at_or_below_-1,ENSG00000153086.14,b/JbMbnSbYMSDJJGDJGAGGADAGDAADAAAAAAAAAJ,21
uterus,excluded_at_or_below_-1,ENSG00000180105.11,gAggAggA/ggAAAAgAgAAAAAAAAAAAgAAAAgAAAAg,2
uterus,excluded_at_or_below_-1,ENSG00000144476.6,FTTKFKTKKTKdi/sisKwsPnTYFPYFPKdFFFKAKPFF,13
uterus,excluded_at_or_below_-1,ENSG00000144648.16,IUgMgUgrgc/cgcQYQnIIQIMQIEMEEAAAAAAAAAAE,16
uterus,excluded_at_or_below_-1,ENSG00000129048.7,EEIRdZuiNqiuVZVdVd/IVVNRAENIIAEAAAIAAAAE,15
uterus,excluded_at_or_below_-1,ENSG00000225415.2,Yww/nwsKPdnddTPTdTnKPFKAAFAFAFFAAAAAAAAK,13
uterus,excluded_at_or_below_-1,ENSG00000087085.16,HHOVVHqHxVjx/cjHqxj4x/qxOcjqccVOVHHVAAAH,9
uterus,excluded_at_or_below_-1,ENSG00000177076.6,KTKYdddd6s1ni/isYTYYPKTAAKKYAAAAFAAAAFAF,13
uterus,excluded_at_or_below_-1,ENSG00000122729.19,EAAEEEJEEOWSgoo2/yyyWygWbSWAEJJAAAAAAAAE,14
uterus,excluded_at_or_below_-1,ENSG00000227411.1,gAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAAAg,2
uterus,excluded_at_or_below_-1,ENSG00000078124.13,FAAFFAKAPKTiiKPin1Y1/ndi1dPYTdKKFFAFFAAF,13
uterus,excluded_at_or_below_-1,ENSG00000100813.15,GAGGAAGLALRLAddddRuu5X/5ouu5iiRdLXXAGAGG,11
