tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000135838.14,GNAGNZTZTGysgsgZsmsysmsTN/ZmygTAGATGGAAG,10
uterus,raw,ENSG00000234719.9,d/0uoGGLLLAdRiuuXoiXiRRAuddXXALLXLLGALAG,11
uterus,raw,ENSG00000188599.18,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000169246.17,FFAAFFFAAVVFaavlqVQaq06v0ag/VFVKKFKFKKAF,12
uterus,raw,ENSG00000185864.20,FAAATFTPFdniwsdw6in/KTnYPdTFKAAFKKFFAAAF,13
uterus,raw,ENSG00000243716.13,GAGAGNNNGTTN5Z/mZssZymZ/mgmTTTZTTGggNNGZ,10
uterus,raw,ENSG00000198156.11,LAAAXRRX0io5/0doooRAXiidGdLdRRLLRAiAGAGG,11
uterus,raw,ENSG00000233232.8,bJSWStot/tbtobSJWWgESEJbEJJEJAEAAEAAAAAE,14
uterus,raw,ENSG00000255524.8,/AWgSQSLUZOAJJLOHAHJHEHCHCACEAAAAAACAAAC,28
uterus,raw,ENSG00000196993.9,6KYsYnYn/snTnTnYKiKTYPPTFTFFFAAFAAAAAAAF,13
uterus,raw,ENSG00000169203.18,LAGGLRR0dXiioodRouodoR/iXLiuXRLGGGGAAGAG,11
uterus,raw,ENSG00000198064.15,FAAFTidKTd16d/sYYnTTPniPYTTKKFFAAFFKAAAF,13
uterus,raw,ENSG00000226232.9,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
uterus,raw,ENSG00000196436.9,e7/eHAEEAAAAAAAAEEHETlWeWaHlWTLWPLHHLHLH,17
uterus,raw,ENSG00000182446.15,EAHHAAAELAHHTWHTLWWheeLhW/PTWTPLPPHTAHEH,17
uterus,raw,ENSG00000257513.8,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,153
vagina,raw,ENSG00000135838.14,EAAIEAIIIiIRNiNRZmVqyi/duiZiVVNIENEAAAAN,15
vagina,raw,ENSG00000234719.9,y/6ggbSEWJWSSbgJSkWbbkSSbbJJSAEAAEEAJAEE,14
vagina,raw,ENSG00000188599.18,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,168
vagina,raw,ENSG00000169246.17,FAAAFFKFKVgQVKgagll/glKvlqgvlQvaKFQgFQVK,12
vagina,raw,ENSG00000185864.20,EAAAAAEIIEYUYcvvnnj/nzgUgYYMUEIEAAAAAEAE,16
vagina,raw,ENSG00000243716.13,FAFPFTAKFKPsnKniTswKiYsYsKiK/nnKPPPKKFFF,13
vagina,raw,ENSG00000198156.11,KPiT/sidYYddTYdY1idPTYiKTwKPFKKTAFAAAFAK,13
vagina,raw,ENSG00000233232.8,FAFQl/v60vqglq0gaVllvVQgVFVQKFAAAAFAAAAF,12
vagina,raw,ENSG00000255524.8,/AJUTHMMYMPPKHHDHDDDDMFDDACAAAAAADACAACC,37
vagina,raw,ENSG00000196993.9,/Vc8mccucgcOVYHKHVSEHOAOHEAHEKAAAAAAAAAE,18
vagina,raw,ENSG00000169203.18,JAAAAAESEWEOOygg/b2g6yWbkySgWEOOEJJAAEEJ,14
vagina,raw,ENSG00000198064.15,LEHaWLw0s/Wpsl7TPWHTELEHELAEEAEAAAAAAAAE,17
vagina,raw,ENSG00000226232.9,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,169
vagina,raw,ENSG00000196436.9,U/tPDAAAAAAAAADDADNFKDKXUSPZUKSPPKNPFDAK,25
vagina,raw,ENSG00000182446.15,GLGAGXoRRLii0R/Xu00o/uid5dXiLXXGALGLLAAG,11
vagina,raw,ENSG00000257513.8,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
uterus,excluded_at_or_below_-1,ENSG00000135838.14,GNAGNZTZTGysgsgZsmsysmsTN/ZmygTAGATGGAAG,10
uterus,excluded_at_or_below_-1,ENSG00000234719.9,i/wdPKFFPFFdKssTTdsFnPFFnTYTTAKKTPFFAKAF,13
uterus,excluded_at_or_below_-1,ENSG00000169246.17,FFAAFFFAAVVFaavlqVQaq06v0ag/VFVKKFKFKKAF,12
uterus,excluded_at_or_below_-1,ENSG00000185864.20,FAAATFTPFdniwsdw6in/KTnYPdTFKAAFKKFFAAAF,13
uterus,excluded_at_or_below_-1,ENSG00000243716.13,GAGAGNNNGTTN5Z/mZssZymZ/mgmTTTZTTGggNNGZ,10
uterus,excluded_at_or_below_-1,ENSG00000198156.11,LAAAXRRX0io5/0doooRAXiidGdLdRRLLRAiAGAGG,11
uterus,excluded_at_or_below_-1,ENSG00000233232.8,bJSWStot/tbtobSJWWgESEJbEJJEJAEAAEAAAAAE,14
uterus,excluded_at_or_below_-1,ENSG00000255524.8,1/niiTwwTTTPYTPPFTPKKPFPFAFFFAAAAAAFAAAF,13
uterus,excluded_at_or_below_-1,ENSG00000196993.9,Kalgqgv/l0VglalQVgKVgQAVQKFFFAAFAAAAAAAF,12
uterus,excluded_at_or_below_-1,ENSG00000169203.18,LAGGLRR0dXiioodRouodoR/iXLiuXRLGGGGAAGAG,11
uterus,excluded_at_or_below_-1,ENSG00000198064.15,FAAFTidKTd16d/sYYnTTPniPYTTKKFFAAFFKAAAF,13
uterus,excluded_at_or_below_-1,ENSG00000196436.9,l/0eEAEEAAAAAAAAEEHHWhaWaWPeWTPTPLHHLHLH,17
uterus,excluded_at_or_below_-1,ENSG00000182446.15,EAHHAAAELAHHTWHTLWWheeLhW/PTWTPLPPHTAHEH,17
vagina,excluded_at_or_below_-1,ENSG00000135838.14,EAAIEAIIIiIRNiNRZmVqyi/duiZiVVNIENEAAAAN,15
vagina,excluded_at_or_below_-1,ENSG00000234719.9,u3/dVdNERRVIRdZNRdViVdRVVZIIRAEAAEEAIAEE,15
vagina,excluded_at_or_below_-1,ENSG00000188599.18,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/,1
vagina,excluded_at_or_below_-1,ENSG00000169246.17,FAAAFFKFKVgQVKgagll/glKvlqgvlQvaKFQgFQVK,12
vagina,excluded_at_or_below_-1,ENSG00000185864.20,EAAAAAEIIEYUYcvvnnj/nzgUgYYMUEIEAAAAAEAE,16
vagina,excluded_at_or_below_-1,ENSG00000243716.13,FAFPFTAKFKPsnKniTswKiYsYsKiK/nnKPPPKKFFF,13
vagina,excluded_at_or_below_-1,ENSG00000198156.11,KPiT/sidYYddTYdY1idPTYiKTwKPFKKTAFAAAFAK,13
vagina,excluded_at_or_below_-1,ENSG00000233232.8,FAFQl/v60vqglq0gaVllvVQgVFVQKFAAAAFAAAAF,12
vagina,excluded_at_or_below_-1,ENSG00000255524.8,0/5Luo/uo/dXdLRRLLLXdLLGGAGAAAAALAAGAAGG,11
vagina,excluded_at_or_below_-1,ENSG00000196993.9,aa/llWppelPTeHHLLWLLHHHHLAAHELAAAAAAAAAE,17
vagina,excluded_at_or_below_-1,ENSG00000169203.18,JAAAAAESEWEOOygg/b2g6yWbkySgWEOOEJJAAEEJ,14
vagina,excluded_at_or_below_-1,ENSG00000198064.15,LEHaWLw0s/Wpsl7TPWHTELEHELAEEAEAAAAAAAAE,17
vagina,excluded_at_or_below_-1,ENSG00000226232.9,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,1
vagina,excluded_at_or_below_-1,ENSG00000196436.9,q/gNAAAAAAAAADADAIIIIDNYSYKdSKSQQKNSDDAK,24
vagina,excluded_at_or_below_-1,ENSG00000182446.15,GLGAGXoRRLii0R/Xu00o/uid5dXiLXXGALGLLAAG,11
