tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000286692.1,/AAAAAAABABAAAABABBBAAABAAAAAAAAAAAAAAAA,129
uterus,raw,ENSG00000286697.2,/AAAAAAAABAAAAABAAAAAAAAAABAAAAAAAAAAAAA,134
uterus,raw,ENSG00000286689.1,NNsNsgZyysTyZgmT/sTgZZgmTNZGTgNGGGGTAAAG,10
uterus,raw,ENSG00000286695.2,/HIJHFDIFFGCBGCDCBDBABAAACAABAABBAAAAAAB,62
uterus,raw,ENSG00000286690.1,/AAACCCCABBAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,126
uterus,raw,ENSG00000286691.2,/LNSPRIIGDIBDEDABBDABHGBABBBBEAAAAAAAAAB,45
uterus,raw,ENSG00000286693.1,/CCEECBBBBAAAAAAAAAAABAAAAABAAAAAAAAAAAB,119
uterus,raw,ENSG00000286681.1,EAAEEAJEEASJgJgWtWb6kog/WkJbkJJSEEOEAEJE,14
uterus,raw,ENSG00000286684.2,/AAAACAAABCBAAAAAAAAAAAAAAAAAAAAAAAAAAAA,128
uterus,raw,ENSG00000286685.4,/QGCCBDBBBBBAABAABAABAAAAAAAAAAAAAAAAAAB,96
uterus,raw,ENSG00000286694.2,OAHHOVj4V4q4q4j/xj4qcx/qqVjVVHHAAHAAHAHH,9
uterus,raw,ENSG00000286683.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,140
uterus,raw,ENSG00000286688.1,FAAPFKYPPYYKYn/dsn1iidFYFwFdPFTPFFPAFAFF,13
uterus,raw,ENSG00000286682.1,/ABEGKFKHLFIEEIEFFGAFGBBCAAAAAABAAAAAABB,53
uterus,raw,ENSG00000286686.2,/CLZHHSEQLQZJLLOCCLECHJHHECHCAECECEACCAE,28
uterus,raw,ENSG00000286696.1,/AIJILJLGGJJDGGFAGEDBAABAEABAAAABBAAAAAB,50
vagina,raw,ENSG00000286692.1,/AAAAABCADBBABABAAAABBAAAAAABAAAAAAAAAAA,138
vagina,raw,ENSG00000286697.2,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,163
vagina,raw,ENSG00000286689.1,LLdoX0o/o/iououu0uXAGdXddiAdGLAGAGRAAAAG,11
vagina,raw,ENSG00000286695.2,/aUMMHRFHIJDFEDAEFBBBBAAAABAEAAADAAAAAAB,48
vagina,raw,ENSG00000286690.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAB,166
vagina,raw,ENSG00000286691.2,/JLQEJFJDEDBCBCAAAAABABAAAAAAAAAAAAAAAAB,74
vagina,raw,ENSG00000286693.1,/ABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,160
vagina,raw,ENSG00000286681.1,KAFFKFKQaQAl/Vgql00valqlQgag0KKQAQQKFKAK,12
vagina,raw,ENSG00000286684.2,/AAAABBABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,155
vagina,raw,ENSG00000286685.4,/AAAAABCCBCBBABABAAAABBAAAAAAAAAAAAAAAAA,133
vagina,raw,ENSG00000286694.2,RLRdLi0Xi000du/iou0RdLXoRGGdRLLXLGLGAAAG,11
vagina,raw,ENSG00000286683.1,/AAAAAAAAAABAAAABAAAAAAAAAAAAAAAAAAAAAAA,156
vagina,raw,ENSG00000286688.1,KaAVgQvqa/q/vqglgKgalaKalQVAKFKVFAAKAAFF,12
vagina,raw,ENSG00000286682.1,/ACCDEBFDCEBCBDBABBCBABBAABBABAABAAAABBB,99
vagina,raw,ENSG00000286686.2,/CNSIKMKKDEBBIEBCDCBBBABABAAAABAABAAAABC,57
vagina,raw,ENSG00000286696.1,/OQSJHGJGDFEAAAACAAAABABAAAABAAAAAAAAAAB,65
uterus,excluded_at_or_below_-1,ENSG00000286692.1,NZAZANNANNNNZA/ANAAZAAANAAAAAAAAANAAAAAN,5
uterus,excluded_at_or_below_-1,ENSG00000286697.2,QAQAvAAAAQAA/AQAQQAAAQAQgQAAAAAAAAAAAAAQ,4
uterus,excluded_at_or_below_-1,ENSG00000286689.1,VxHqcj44qc4cqVxc/xOjVqVjcHcOVcVAHHHVAAAH,9
uterus,excluded_at_or_below_-1,ENSG00000286695.2,/5g5TZsmZmNGmNNTGNGGGAAAGGAGAAGGAAAAAAAG,10
uterus,excluded_at_or_below_-1,ENSG00000286690.1,mZyy/AZZAAAAAAAANNAAANAAAAAANAAAAAAAAAAN,5
uterus,excluded_at_or_below_-1,ENSG00000286691.2,ns/16ddPPYKKPFFFFKAFAnKAAKAFKKAAAAAAAAAF,13
uterus,excluded_at_or_below_-1,ENSG00000286693.1,vg/vQIYIAAAAAAAAAAAAIAAAAAIAAAAAAAAAAAAI,8
uterus,excluded_at_or_below_-1,ENSG00000286681.1,EAAEEAJEEASJgJgWtWb6kog/WkJbkJJSEEOEAEJE,14
uterus,excluded_at_or_below_-1,ENSG00000286684.2,QQvQAQv/gAQAAAQQAQAQQAQAAQAAAAAAAAAAAAAQ,4
uterus,excluded_at_or_below_-1,ENSG00000286685.4,/aODFDGCDDCCAACAACAACAAAAAAAAAAAAAAAAAAC,41
uterus,excluded_at_or_below_-1,ENSG00000286694.2,GGANGggsygymZyyymmmmZ/yZgZZZNGGAAGAAGAGG,10
uterus,excluded_at_or_below_-1,ENSG00000286683.1,/AgAAAgA/AAgAggAAAgAAAAgAAAAAAAgAAAAAAAg,2
uterus,excluded_at_or_below_-1,ENSG00000286688.1,QFKQVVQVVVQq/gvllqlaaFgFvKaKKVKFFKKAFAFF,12
uterus,excluded_at_or_below_-1,ENSG00000286682.1,Ynnnv/3nnvYY3YYggQIgnAQIAAAAAAAIAAAAAAII,8
uterus,excluded_at_or_below_-1,ENSG00000286686.2,i/RLiddX0uddR0LGLXLGRXRRLAXGAALRGALAGGAL,11
uterus,excluded_at_or_below_-1,ENSG00000286696.1,/mZyyyggmmZAmsGGgNNGAAGANGGAAAAGAGAAAAAG,10
vagina,excluded_at_or_below_-1,ENSG00000286692.1,KVqK/KgAAVAVAAKAKKVKAAKAAAVAAAAAAAAAAAAK,6
vagina,excluded_at_or_below_-1,ENSG00000286697.2,//AAAAAAAAAAA/AA//AAA/AAAAAAAAAAAAAAAAA/,1
vagina,excluded_at_or_below_-1,ENSG00000286689.1,PYiPsdwn/dTisisTwiKAYTPYYTAYFKAFAKKAAAAF,13
vagina,excluded_at_or_below_-1,ENSG00000286695.2,0/cjSmYVVYKHKKEHKHEEHAAAAAEEHAAEEAAAAAAE,18
vagina,excluded_at_or_below_-1,ENSG00000286690.1,/AAAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAA//,1
vagina,excluded_at_or_below_-1,ENSG00000286691.2,s4/eaaeaWHLAHHEAAAAAEEAAAAAAAAAAAAAAAAAE,17
vagina,excluded_at_or_below_-1,ENSG00000286693.1,/ggAAggAAAAAAgAAAAgAgAAAAAAAAAAAAAAAAAAg,2
vagina,excluded_at_or_below_-1,ENSG00000286681.1,KAFFKFKQaQAl/Vgql00valqlQgag0KKQAQQKFKAK,12
vagina,excluded_at_or_below_-1,ENSG00000286684.2,Qg/AAgQAAQAAAAQAAQAAAAAQAAAAAAAAAAAAAAAQ,4
vagina,excluded_at_or_below_-1,ENSG00000286685.4,Z/ZmyZyZNZAAmAANNAmNAAAAAAAAAAAAAAAAAAAN,5
vagina,excluded_at_or_below_-1,ENSG00000286694.2,PKdKPwYdnd1nYwiiY/TTPKYYPFKdKKFYFFKFAAAF,13
vagina,excluded_at_or_below_-1,ENSG00000286683.1,gA/AggA/ggAggAAAAgAAAAAAgAAAAAAAAAAAAAAg,2
vagina,excluded_at_or_below_-1,ENSG00000286688.1,aKQaal0gv/qvqglgKaKqgVKqKaKFFKKQFAAKAAFF,12
vagina,excluded_at_or_below_-1,ENSG00000286682.1,bb/kb/tS2bSbbJSJASSJASJAASJAJAAJAAAAAJJJ,7
vagina,excluded_at_or_below_-1,ENSG00000286686.2,j/nYvjYjIMEMUQEIMIEEAEEAAEAAAEAAEAAAAAEI,16
vagina,excluded_at_or_below_-1,ENSG00000286696.1,4y/bXRhUHUNAAAAHAAAAADADAAADAAAAAAAAAAAD,19
