tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000057757.10,GAAAGNGTGTNZTsNTm5yZ/555gyg5NmmmGANNATAG,10
uterus,raw,ENSG00000281473.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,152
uterus,raw,ENSG00000164093.18,/QFBBBAAAAAAAAAAAAABABAAAAAAAAABAAAAAAAB,108
uterus,raw,ENSG00000069011.16,bh4r/8orbKXKUNHDHAADDAADAAADDAAAADAAAAAD,19
uterus,raw,ENSG00000224186.8,FAFAAFKFFTKATwPYs/Ki1/YsniiYsPKFKFFFFAAF,13
uterus,raw,ENSG00000107959.17,GTZGGNsm5g/y5yg55gymTyNmAgGGTAGGGANAAGGG,10
uterus,raw,ENSG00000237399.7,FAAAFFFaFKQaKl6v/vVvq0aqaaqaKQKKAKFFKAAF,12
uterus,raw,ENSG00000110697.14,TGNAZgNTNTGNZNZggmssmmZm/Zg5TsmyNTTAGGAG,10
uterus,raw,ENSG00000090975.14,FAAAAAAQFAQgKlqlalalqq0vq/gqVFKKQFQKAKAK,12
uterus,raw,ENSG00000251497.3,/HMQXXMMTQOTMJQMMMFCHCJAACCAAAAFFACAAAFC,27
uterus,raw,ENSG00000236618.4,LALGAGLRXuuud/i0u/Xo0LoRdXXLdLGXGGGAAAAL,11
uterus,raw,ENSG00000174238.16,FAFFAYFFPPKddAPii/1Y6PsdiTYndTPKYFFAAAAF,13
uterus,raw,ENSG00000091622.16,FAAAAKFATAKFFYTYYddF1/wPs6iwddYPKKPPPAAF,13
uterus,raw,ENSG00000154217.16,FAAAFAAFaF/Ql6/0q/a/g0laKVFaQKFKAAFKAAAF,12
uterus,raw,ENSG00000180957.19,EEAEAAHOKYccSmmgm/YcjgKOHHAHKAAEEAAAAAAE,18
uterus,raw,ENSG00000241878.12,FAAAFAAFKFPKPdiTYiPdsd6/dddisFPKYYKPFKKF,13
vagina,raw,ENSG00000057757.10,ELPTLLhahlhw/4lWWWeaHTEHEEEALEEAAAAAAAAE,17
vagina,raw,ENSG00000281473.1,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,167
vagina,raw,ENSG00000164093.18,/rNNDNDXKKKhoheXoRXRKUXKHHDDADDAAADDAADD,19
vagina,raw,ENSG00000069011.16,EOHOEOEEEAKEHHEKEEEAHEHHKOOYVVESgq/x4xOV,18
vagina,raw,ENSG00000224186.8,KFKFKgVKQQlgKQKqgVVVVgVVv0/g0agaVKKVQFAF,12
vagina,raw,ENSG00000107959.17,EAAAAAAAAEANAEINENiidVZ3q3/u3VyiZdAIENAI,15
vagina,raw,ENSG00000237399.7,EAAAAAAAAAEEMIMAQEggYncr/vnjrjQUcIIUUIIM,16
vagina,raw,ENSG00000110697.14,FKTFFTdni6nndP1wT/id6dYKFPATKPFFFFAKFAAP,13
vagina,raw,ENSG00000090975.14,EAAEENNAZZRim3qiZuq/ZiVqZRRIIINAIAAAAAAE,15
vagina,raw,ENSG00000251497.3,/UbQZUUONOJNECEHFCFFFACCACCCAAAAAAAACAAC,35
vagina,raw,ENSG00000236618.4,EAAAAAAAAJAJEEJEbSg2ktW/yoyb/kWWkOSOOOAE,14
vagina,raw,ENSG00000174238.16,EAAAAAAEAAAVIIVNRuZdd3Zq/3uqmiVZNEEEIAEE,15
vagina,raw,ENSG00000091622.16,FAAFAFKPAKTPKKPPFYTPsPTKdiwn/PndwdniYYdT,13
vagina,raw,ENSG00000154217.16,NAIIEIRmNqRmm/iuqiuZdVidRNIAIEIEAAAAAAAE,15
vagina,raw,ENSG00000180957.19,FAAFAAAKAKdYTs/sw6iws1d16sTYPAAKPFFAAFAF,13
vagina,raw,ENSG00000241878.12,LPPHWLeessW/sh4sePWTTTEEAAAEAAAAAAAAAAAE,17
uterus,excluded_at_or_below_-1,ENSG00000057757.10,GAAAGNGTGTNZTsNTm5yZ/555gyg5NmmmGANNATAG,10
uterus,excluded_at_or_below_-1,ENSG00000281473.1,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,1
uterus,excluded_at_or_below_-1,ENSG00000164093.18,/VGBCCAAAAAAAAAAAAABABAAAAAAAAABAAAAAAAB,62
uterus,excluded_at_or_below_-1,ENSG00000069011.16,W4s///4pWPTTPPLEEAAEEAAEAAAEEAAAAEAAAAAE,17
uterus,excluded_at_or_below_-1,ENSG00000224186.8,FAFAAFKFFTKATwPYs/Ki1/YsniiYsPKFKFFFFAAF,13
uterus,excluded_at_or_below_-1,ENSG00000107959.17,GTZGGNsm5g/y5yg55gymTyNmAgGGTAGGGANAAGGG,10
uterus,excluded_at_or_below_-1,ENSG00000237399.7,FAAAFFFaFKQaKl6v/vVvq0aqaaqaKQKKAKFFKAAF,12
uterus,excluded_at_or_below_-1,ENSG00000110697.14,TGNAZgNTNTGNZNZggmssmmZm/Zg5TsmyNTTAGGAG,10
uterus,excluded_at_or_below_-1,ENSG00000090975.14,FAAAAAAQFAQgKlqlalalqq0vq/gqVFKKQFQKAKAK,12
uterus,excluded_at_or_below_-1,ENSG00000251497.3,4H//4qc4xqxjjxcqjHHVHVOAAOAAAAHOHHAAAAOH,9
uterus,excluded_at_or_below_-1,ENSG00000236618.4,LALGAGLRXuuud/i0u/Xo0LoRdXXLdLGXGGGAAAAL,11
