tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000164185.7,RARRdoXdo5iX/50i0ddXXodGRLLGGXAGLGGGAAAG,11
uterus,raw,ENSG00000250803.7,/AAAAAAAAAAAACCAAABAAAAAAAAAAAAAABAAAAAA,132
uterus,raw,ENSG00000249610.1,/AAAAAAAAAAAAABCAAAAAAAAAAAAAAAAAAAAAAAA,138
uterus,raw,ENSG00000185177.14,/AAABBABACABAAABAAAAAAAAAAAAABAAAAAAAAAA,126
uterus,raw,ENSG00000127081.15,OHAOVcOjcq/xq4qxx/44VjcVxcVHVOVHVOHHHHAH,9
uterus,raw,ENSG00000173258.13,NAAZNGggZgsTTssN/gZZmZ/gZsTTsZsgNGNGAAGG,10
uterus,raw,ENSG00000243660.12,HOAOHHHcVOOccj4j//V/VqH4/VVxxVcjc4HOHAAV,9
uterus,raw,ENSG00000198298.13,RAAGALdLLRu0dRR0oX00i/XXXuRXARLRuiGAAAGG,11
uterus,raw,ENSG00000265763.4,KYnds/iw1niwYnsnFTTdFFFPAKAFFAAAFAAAAAAF,13
uterus,raw,ENSG00000180035.13,GAGAGNgGNZgNyGs/gmsymZyy/ssZTsZTGGGGGAAG,10
uterus,raw,ENSG00000177599.13,FAAAAAAFFFAKFFQQKaqqg/60va00vglQQVKAgFFF,12
uterus,raw,ENSG00000188033.10,NNNNGGAZGGZNNgGZ5m/ggs5sgmgs5ZTyTNNGGGNN,10
uterus,raw,ENSG00000256229.8,EAAANEIAEEZEmiuqy/uqq/dRVVEEAEAAAEAAAAAE,15
uterus,raw,ENSG00000142528.16,FFVKaQQV/gqV0v6qg6avaQlQAKgAAAFFAKAAAAAF,12
uterus,raw,ENSG00000204666.4,RRZd/y7u/3uqRdNdINEAEAAAAAAAAEAAAAAAAAEE,15
uterus,raw,ENSG00000198464.14,EAAEKKEKKSYS/qqgYjumYcSKEEKAAAAAAAAAAAAE,18
vagina,raw,ENSG00000164185.7,LHTPeWpe4/haehWheHTHPWLPAHEEAEEEAAAEAAAE,17
vagina,raw,ENSG00000250803.7,/AAAABBBCAAAAAAAAABAAAAAAAAAAAAAAAAAAAAA,150
vagina,raw,ENSG00000249610.1,/AAAAAAAAAAAAAAAAAAAABAAAAABABAAAAAAAAAA,155
vagina,raw,ENSG00000185177.14,/AAAAAAAAAAAAAAAAAABABBAABAAAAABAAAAAAAA,150
vagina,raw,ENSG00000127081.15,TGGGZZgGsmmg/5/gssmsmmyNmZmyggTNGAAAGGAG,10
vagina,raw,ENSG00000173258.13,GLGLRuLRX0RXi05XdiR/ooRdodRdXRXRXXRGLGGL,11
vagina,raw,ENSG00000243660.12,EIEIQgIEQYn/ccvUrMMgMnIYQQUYIMUQAIAAAAAE,16
vagina,raw,ENSG00000198298.13,FFAAKKQQaKQFlqvaqv0vql/lKqaVQgFAaaKFKFFK,12
vagina,raw,ENSG00000265763.4,FKFq0/v60Vv0g/glglVqlKQVKQFFFKAAAAAAAAAF,12
vagina,raw,ENSG00000180035.13,EAAAAAAIAINVNINNqu3Zdiq7d/mVRVNRNRNIIAAE,15
vagina,raw,ENSG00000177599.13,KFFTFKKKTPFPTKYd/61dsiYP1TsYddPPKAKYAKFK,13
vagina,raw,ENSG00000188033.10,FAFAAAAAPFKAFdin1dwidns/snsnPnYPKTYYAAAF,13
vagina,raw,ENSG00000256229.8,EAHEEAHKOKOVVqgcuj0/mScOOYKSAAEAAEAEAAEE,18
vagina,raw,ENSG00000142528.16,EIMAEAQcYjY3zUU/vgrMgIMUQQQQIEIEAAAAAIEE,16
vagina,raw,ENSG00000204666.4,rr8u/yorohuHDNDADHDAAAAADDAAADAAADAAAAAD,19
vagina,raw,ENSG00000198464.14,EAAEAAEEAHAAEAEAAPeWWees/hwehlwsaLTEAAEH,17
uterus,excluded_at_or_below_-1,ENSG00000164185.7,RARRdoXdo5iX/50i0ddXXodGRLLGGXAGLGGGAAAG,11
uterus,excluded_at_or_below_-1,ENSG00000250803.7,VAVAAq///VAAqAAVAAAAAAAAVAAAAAAqAAAAAAAV,3
uterus,excluded_at_or_below_-1,ENSG00000249610.1,ggg///gAAAAggAAAAAAAgAAAAAAAgAAAAAAAAAAg,2
uterus,excluded_at_or_below_-1,ENSG00000185177.14,qqVqV/VqAVAVVVAAAVAAAVVVAAAVqAAAAAVAAAAV,3
uterus,excluded_at_or_below_-1,ENSG00000127081.15,OHAOVcOjcq/xq4qxx/44VjcVxcVHVOVHVOHHHHAH,9
uterus,excluded_at_or_below_-1,ENSG00000173258.13,NAAZNGggZgsTTssN/gZZmZ/gZsTTsZsgNGNGAAGG,10
uterus,excluded_at_or_below_-1,ENSG00000243660.12,HOAOHHHcVOOccj4j//V/VqH4/VVxxVcjc4HOHAAV,9
uterus,excluded_at_or_below_-1,ENSG00000198298.13,RAAGALdLLRu0dRR0oX00i/XXXuRXARLRuiGAAAGG,11
uterus,excluded_at_or_below_-1,ENSG00000265763.4,iud//o55iu5io0uLRidLGGRALAALAAAAGAAAAAAG,11
uterus,excluded_at_or_below_-1,ENSG00000180035.13,GAGAGNgGNZgNyGs/gmsymZyy/ssZTsZTGGGGGAAG,10
uterus,excluded_at_or_below_-1,ENSG00000177599.13,FAAAAAAFFFAKFFQQKaqqg/60va00vglQQVKAgFFF,12
uterus,excluded_at_or_below_-1,ENSG00000188033.10,NNNNGGAZGGZNNgGZ5m/ggs5sgmgs5ZTyTNNGGGNN,10
uterus,excluded_at_or_below_-1,ENSG00000256229.8,EAAANEIAEEZEmiuqy/uqq/dRVVEEAEAAAEAAAAAE,15
uterus,excluded_at_or_below_-1,ENSG00000142528.16,FFVKaQQV/gqV0v6qg6avaQlQAKgAAAFFAKAAAAAF,12
uterus,excluded_at_or_below_-1,ENSG00000204666.4,YUU3n/g/v/jcQQYUMEEAEAAAAAAAEAAAAAAAAAEE,16
uterus,excluded_at_or_below_-1,ENSG00000198464.14,EAAEKKEKKSYS/qqgYjumYcSKEEKAAAAAAAAAAAAE,18
vagina,excluded_at_or_below_-1,ENSG00000164185.7,WPWapT/e4eeehWaaHWEPWLPAEHEAEEAEAAEAAAAE,17
vagina,excluded_at_or_below_-1,ENSG00000250803.7,//q//VAAAVAAAAAqAAAAAAAAAAAAAVAAAAAAAAAV,3
vagina,excluded_at_or_below_-1,ENSG00000249610.1,qAVAAAAAVqAVAAAAAAA/AqVAAVAAAAAAAAAAAAAV,3
vagina,excluded_at_or_below_-1,ENSG00000185177.14,VVAAVVAAVVVAV/VqAAVVAAAAAAAqAVAAAAAAAAAV,3
vagina,excluded_at_or_below_-1,ENSG00000127081.15,TGGGZZgGsmmg/5/gssmsmmyNmZmyggTNGAAAGGAG,10
vagina,excluded_at_or_below_-1,ENSG00000173258.13,GLGLRuLRX0RXi05XdiR/ooRdodRdXRXRXXRGLGGL,11
vagina,excluded_at_or_below_-1,ENSG00000243660.12,EIEIQgIEQYn/ccvUrMMgMnIYQQUYIMUQAIAAAAAE,16
vagina,excluded_at_or_below_-1,ENSG00000198298.13,FFAAKKQQaKQFlqvaqv0vql/lKqaVQgFAaaKFKFFK,12
vagina,excluded_at_or_below_-1,ENSG00000265763.4,KQq0/l/vVvqq6aqgqQalgKQKVFFFFKAAAAAAAAAF,12
vagina,excluded_at_or_below_-1,ENSG00000180035.13,EAAAAAAIAINVNINNqu3Zdiq7d/mVRVNRNRNIIAAE,15
vagina,excluded_at_or_below_-1,ENSG00000177599.13,KFFTFKKKTPFPTKYd/61dsiYP1TsYddPPKAKYAKFK,13
vagina,excluded_at_or_below_-1,ENSG00000188033.10,FAFAAAAAPFKAFdin1dwidns/snsnPnYPKTYYAAAF,13
vagina,excluded_at_or_below_-1,ENSG00000256229.8,EAHEEAHKOKOVVqgcuj0/mScOOYKSAAEAAEAEAAEE,18
vagina,excluded_at_or_below_-1,ENSG00000142528.16,EIMAEAQcYjY3zUU/vgrMgIMUQQQQIEIEAAAAAIEE,16
vagina,excluded_at_or_below_-1,ENSG00000204666.4,o18/e/rkbrbHHHDDAHDAAAAAHAAAADAAADAAAAAD,19
vagina,excluded_at_or_below_-1,ENSG00000198464.14,EAAEAAEEAHAAEAEAAPeWWees/hwehlwsaLTEAAEH,17
