tissue,table,gene,hist,hist_max
uterus,raw,ENSG00000183615.6,EAEAAJJJgSWogb/yOykgttWWEWEJJOOAEEAJAAAJ,14
uterus,raw,ENSG00000143340.7,/UbMMGJCCBDDBAAAAAABAAAAAAAAAAAAAAAAAAAB,59
uterus,raw,ENSG00000170264.13,GAATAGATTsZZssNss5/sZ5ymZmsgZTZNTNGGAAAN,10
uterus,raw,ENSG00000152102.18,FAAAAAAAKVFFaQKKKVagaav0q6/l//gqQQAAKAFF,12
uterus,raw,ENSG00000114023.16,GAALGRLRRod0d0/uuidRoii5oG5LXLAGAGGLAGAG,11
uterus,raw,ENSG00000198780.13,GJWcjv/pZjgZNGTJDGJDNGJADDAAAAADADAAAAAD,20
uterus,raw,ENSG00000271714.1,/MEEIHDGEGBDCDDBCACABAABAAAAAAAAAAAAAAAB,71
uterus,raw,ENSG00000183807.8,EAAAAAAAJEAJJOgbWy/y2bktgJWbbSEWWObAAEAE,14
uterus,raw,ENSG00000282572.5,/dwgbbTPKCEGGCKCECACAACACACAAAAAAAAAAAAC,30
uterus,raw,ENSG00000184608.10,/AAABCCCAABBCEBBBBBBABAAAAAAABAAAABAAAAB,115
uterus,raw,ENSG00000154319.16,uo/yoXPGGEGECECCACAAAACAAAAAAAAAAAAAAAAC,30
uterus,raw,ENSG00000196990.10,/Sxxj0qcScgVHEESEHHAKHEAHAHEAAAEEEAAAAAE,18
uterus,raw,ENSG00000054965.11,DAAAAAADAADDDJDDMAGPGVYSwVV/kbbMMYVDDDDD,21
uterus,raw,ENSG00000156050.10,GAAAAAAGGRXAGoiiiuiL/o55u0iiL5LXRRGGXGAR,11
uterus,raw,ENSG00000283597.4,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,151
uterus,raw,ENSG00000260528.8,WWTas/0lTePWePWTTHPAEEELEEPAAEAHAHAEAAAE,17
vagina,raw,ENSG00000183615.6,OEJWSWJAbSbWbogSogo/obOoWkJWJSJEOAAAAJAE,14
vagina,raw,ENSG00000143340.7,/KDABAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,132
vagina,raw,ENSG00000170264.13,EAAAEEAHLEPLPWETpeaa0W/aWaaPLWHWWPEHHEHH,17
vagina,raw,ENSG00000152102.18,EAAAIAIAIIREEVZyVq/mqudqVVVyZZiRIAAEAAAE,15
vagina,raw,ENSG00000114023.16,EEOEJWSSSWSgSySOoOgSk/SWbSbyESSWJJSEAEEE,14
vagina,raw,ENSG00000198780.13,IEQYcUjnz7jrcv/rcEUIIMEMAAAQAEAEAAAAEAAE,16
vagina,raw,ENSG00000271714.1,/ADHDEHDFGBCBBBCBABCBBBABAAABAAAAAAAAAAB,91
vagina,raw,ENSG00000183807.8,IAYIQAQInnIIQnvY3Y33v/nvnvgng3v/n3vY3nYQ,8
vagina,raw,ENSG00000282572.5,/855mscccWDWDJGJDGJGGDAGDAADAAAAAAAAGAAD,20
vagina,raw,ENSG00000184608.10,/AABCECBBCBCDDCBBBBBAABBBABAAAAAABAAAAAB,117
vagina,raw,ENSG00000154319.16,/6nsYPKPsPKPKPTPYPYFYYPPYTYKdYYnFFPKFTFP,13
vagina,raw,ENSG00000196990.10,6/ZMJHCBDBABAABABBABAABAABAAAAAAAAAAAAAB,56
vagina,raw,ENSG00000054965.11,HAOHOHAVcOOc4ccH4jx/c4qjjc4Vx4cj4VxcjcHV,9
vagina,raw,ENSG00000156050.10,TANGGNGTNm/ZyT5s5TZZ/gy5mggTggTZgZNGZTAG,10
vagina,raw,ENSG00000283597.4,AAAAAAAAAAAAAAAAAAAA/AAAAAAAAAAAAAAAAAAA,170
vagina,raw,ENSG00000260528.8,NImdZd/ZduZZmddZVuRINdARAEIIVIIEAEEEEAAE,15
uterus,excluded_at_or_below_-1,ENSG00000183615.6,EAEAAJJJgSWogb/yOykgttWWEWEJJOOAEEAJAAAJ,14
uterus,excluded_at_or_below_-1,ENSG00000143340.7,i/ZVRINCCGGCCAAAAAACAAAAAAAAAAAAAAAAAAAC,30
uterus,excluded_at_or_below_-1,ENSG00000170264.13,GAATAGATTsZZssNss5/sZ5ymZmsgZTZNTNGGAAAN,10
uterus,excluded_at_or_below_-1,ENSG00000152102.18,FAAAAAAAKVFFaQKKKVagaav0q6/l//gqQQAAKAFF,12
uterus,excluded_at_or_below_-1,ENSG00000114023.16,GAALGRLRRod0d0/uuidRoii5oG5LXLAGAGGLAGAG,11
uterus,excluded_at_or_below_-1,ENSG00000198780.13,GJWcjv/pZjgZNGTJDGJDNGJADDAAAAADADAAAAAD,20
uterus,excluded_at_or_below_-1,ENSG00000271714.1,/bS2WOgbWEOJOOEEEEEAEAEAAAAAAAAAAAAAAAAE,14
uterus,excluded_at_or_below_-1,ENSG00000183807.8,EAAAAAAAJEAJJOgbWy/y2bktgJWbbSEWWObAAEAE,14
uterus,excluded_at_or_below_-1,ENSG00000282572.5,u/oluUdLJDOAJLJGADADADAADADAAAAAAAAAAAAD,22
uterus,excluded_at_or_below_-1,ENSG00000184608.10,mmmZAANNym/ZNAZZNNANAAAAAAANAAAAANAAAAAN,5
uterus,excluded_at_or_below_-1,ENSG00000154319.16,tt/yiQSEJEHACHCAACAAAACAAAAAAAAAAAAAAAAC,28
uterus,excluded_at_or_below_-1,ENSG00000196990.10,cn/rvvnQYvYQEEMIIEIEMIAEEEEEAAAEEEAAAAAE,16
uterus,excluded_at_or_below_-1,ENSG00000054965.11,DAAAAAADAADDDJDDMAGPGVYSwVV/kbbMMYVDDDDD,21
uterus,excluded_at_or_below_-1,ENSG00000156050.10,GAAAAAAGGRXAGoiiiuiL/o55u0iiL5LXRRGGXGAR,11
uterus,excluded_at_or_below_-1,ENSG00000283597.4,/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/,1
uterus,excluded_at_or_below_-1,ENSG00000260528.8,WWTas/0lTePWePWTTHPAEEELEEPAAEAHAHAEAAAE,17
vagina,excluded_at_or_below_-1,ENSG00000183615.6,OEJWSWJAbSbWbogSogo/obOoWkJWJSJEOAAAAJAE,14
vagina,excluded_at_or_below_-1,ENSG00000143340.7,/LFBDAAABAAABBAAAAAAAAAAABAAAABAAAAAAABB,64
vagina,excluded_at_or_below_-1,ENSG00000170264.13,EAAAEEAHLEPLPWETpeaa0W/aWaaPLWHWWPEHHEHH,17
vagina,excluded_at_or_below_-1,ENSG00000152102.18,EAAAIAIAIIREEVZyVq/mqudqVVVyZZiRIAAEAAAE,15
vagina,excluded_at_or_below_-1,ENSG00000114023.16,EEOEJWSSSWSgSySOoOgSk/SWbSbyESSWJJSEAEEE,14
vagina,excluded_at_or_below_-1,ENSG00000198780.13,IEQYcUjnz7jrcv/rcEUIIMEMAAAQAEAEAAAAEAAE,16
vagina,excluded_at_or_below_-1,ENSG00000271714.1,g/gm5gsyNNNGGGZGAGTGGGAGAAAAGAAAAAAAAAAG,10
vagina,excluded_at_or_below_-1,ENSG00000183807.8,IAYIQAQInnIIQnvY3Y33v/nvnvgng3v/n3vY3nYQ,8
vagina,excluded_at_or_below_-1,ENSG00000282572.5,y8/myjZWcTJQAJNGDDJGGDAGDADAAAAAAAAAGAAD,20
vagina,excluded_at_or_below_-1,ENSG00000184608.10,0/qKKgVVV00qVKAKKKAAKVAKAKAAAAAAKAAAAAAK,6
vagina,excluded_at_or_below_-1,ENSG00000154319.16,/jgcQMMQgIQEMIUIUUMMQQMQQQUIcQUgEEMIEQEM,16
vagina,excluded_at_or_below_-1,ENSG00000196990.10,/1YNIGCBDBBAAABABBABAABAABAAAAAAAAAAAAAB,55
vagina,excluded_at_or_below_-1,ENSG00000054965.11,HAOHOHAVcOOc4ccH4jx/c4qjjc4Vx4cj4VxcjcHV,9
vagina,excluded_at_or_below_-1,ENSG00000156050.10,TANGGNGTNm/ZyT5s5TZZ/gy5mggTggTZgZNGZTAG,10
vagina,excluded_at_or_below_-1,ENSG00000260528.8,NImdZd/ZduZZmddZVuRINdARAEIIVIIEAEEEEAAE,15
