tissue,table,gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
adipose_subcutaneous,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,0.9569944890141932,22.573599244725948,-0.9483609150110303,0.056863086592012155,600.6234261778378,12.06198930344072,0.0,-0.9846180449504952,-0.4633691425643409,-0.9088824682044344,0.07104519454163967,2.4621633984728906,9.187934592211107,-0.4633691425643409,22.573007222185666,0.0,181,True
adipose_subcutaneous,raw,ENSG00000304385.1,ENSG00000304385,4.641189109641167,653.7003211734791,-0.9937013784514205,0.0008870396296169588,2636.9743600165166,845.5124388061686,0.0,-1.0,-0.4633691425643409,-0.9769015780742334,0.05336273088245178,3.6416249980445294,19.161758166016448,-0.4633691425643409,653.0734173478969,0.0,714,True
adipose_visceral_omentum,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,0.9188064408174456,19.20967625158478,-0.9430797180615464,0.08231610788961005,326.79670432961063,7.529113965427262,0.0,-0.9824186794759,-0.504838016821395,-0.8940351497967859,0.0810908223135773,2.0579988355988608,5.129464327325017,-0.504838016821395,19.20946739047413,0.0,213,True
adipose_visceral_omentum,raw,ENSG00000304385.1,ENSG00000304385,3.9143287130364954,366.16097923101086,-0.9938115109444453,0.004501476150857816,2421.2197153144366,153.6191515527638,0.0,-1.0,-0.504838016821395,-0.9615493814424453,0.07056432448557391,2.7159951418347688,9.425332097154389,-0.504838016821395,363.2530299431302,0.0,587,True
adrenal_gland,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,0.07254311240234557,0.7739141107959107,-0.9680030341020471,0.012320894388775554,9.18890554025688,6.445935625288931,0.0,-0.9803237020716664,-0.9118448312753382,-0.9606107612625259,0.019009708540626037,1.5895245928382913,1.746963958962521,-0.9118448312753382,0.7739106354009461,0.0,12,True
adrenal_gland,raw,ENSG00000304385.1,ENSG00000304385,0.3076923076923077,382.66423484297496,-0.9989456066779315,8.64051196384039e-05,16.307692307692307,1425.5995290910025,0.0,-1.0,-0.9118448312753382,-0.9983977258818654,0.00861809843236952,6.450943184055244,47.829039470749656,-0.9118448312753382,353.79565278355085,0.0,295,True
artery_aorta,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,,,,,,,,,,,,,,,,,9,False
artery_aorta,raw,ENSG00000304385.1,ENSG00000304385,0.2307692304991424,494.66627996815726,-0.9988460869427906,0.0005233129456452164,8.923076925912463,275.55994461999717,0.0,-1.0,-0.8968783996304555,-0.9988798078916589,0.00876361346075966,8.683666939916806,79.83483469756071,-0.8968783996304555,489.9572918103434,0.0,472,True
artery_coronary,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,0.19168845166280174,1.7967555927161636,-0.9452238073806403,0.024870748175326925,19.459842275297046,5.44693427040105,0.0,-0.9906069603712148,-0.8494325250941228,-0.9366827730441419,0.03052889289369272,1.1483439609893544,1.4262358301199152,-0.8494325250941228,1.7967236661812305,0.0,30,True
artery_coronary,raw,ENSG00000304385.1,ENSG00000304385,0.7880817124761326,234.70031409308865,-0.9981182746492167,0.0011535695240844914,49.254012190676775,182.28065076467985,0.0,-1.0,-0.8494325250941228,-0.9929122507138964,0.02238890372859026,3.5908487409909267,13.915206662779042,-0.8494325250941228,232.0825065779136,0.0,268,True
artery_tibial,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,0.2481337779530711,2.369422411073756,-0.9552556693275056,0.0038813850466284396,9.17128280941288,30.075653508040812,0.0,-0.964860354066448,-0.8727114236070768,-0.9433029303293727,0.02308073089625706,1.8698968910412717,3.1557305441213463,-0.8727114236070768,2.368722128727277,0.0,17,True
artery_tibial,raw,ENSG00000304385.1,ENSG00000304385,0.4473684210321046,746.1953933027454,-0.9984724011750082,0.00019844300053142597,29.594875346244756,896.2416392494631,0.0,-1.0,-0.8727114236070768,-0.9986051372150496,0.009465923975036704,7.941586458418373,73.04457978305915,-0.8727114236070768,716.3593596194286,0.0,691,True
bladder,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,,,,,,,,,,,,,,,,,2,False
bladder,raw,ENSG00000304385.1,ENSG00000304385,0.0514101402606849,75.3441144365003,-0.9995317695609266,2.369908648635274e-06,1.8974365373006055,22081.65341285941,,-1.0,-0.9625278100518068,-0.9990944202607775,0.005597887699685707,6.014038713434157,34.389268462673535,-0.9625278100518068,0.0,0.0,77,True
brain_amygdala,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,0.05877562377499535,0.6308697497174796,-0.9724237391677397,0.005677965856551581,11.321498272591771,6.187165385030498,0.0,-0.977805498348475,-0.9475827146296276,-0.9691605580985856,0.008448850919864598,1.767603150574228,2.441702569032654,-0.9475827146296276,0.6308641123825426,0.0,10,True
brain_amygdala,raw,ENSG00000304385.1,ENSG00000304385,0.25641025639085047,176.1649233982656,-0.9993917374348689,0.0002655764651067248,13.435897436316782,275.8867306823487,0.0,-1.0,-0.9475827146296276,-0.998296163430861,0.007313498105051832,4.439608946135728,19.973444861445163,-0.9475827146296276,176.11888951602677,0.0,181,True
brain_anterior_cingulate_cortex_ba24,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,,,,,,,,,,,,,,,,,7,False
brain_anterior_cingulate_cortex_ba24,raw,ENSG00000304385.1,ENSG00000304385,0.17948717948717952,290.55638668512785,-0.9994451319999721,0.0002005682227672576,11.743589743589741,365.87990975766786,0.0,-1.0,-0.9475548905266832,-0.9991097074814461,0.005381304773790411,6.703457005345333,48.76344104896466,-0.9475548905266832,284.32097797269336,0.0,233,True
brain_caudate_basal_ganglia,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,,,,,,,,,,,,,,,,,7,False
brain_caudate_basal_ganglia,raw,ENSG00000304385.1,ENSG00000304385,0.17948717925724286,348.2085908131597,-0.9995342764051517,0.0002525308634405404,7.743589746868128,253.13234929128944,0.0,-1.0,-0.9543333729263336,-0.9992554141977138,0.00507241747480113,7.222724313263976,53.42689349598548,-0.9543333729263336,347.83309672747964,0.0,300,True
brain_cerebellar_hemisphere,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,0.29225122684770605,0.8713311000200842,-0.9633503511684025,0.012564551214584708,18.253752608987888,8.217150428624166,0.0,-0.9750846405362238,-0.8903452477346984,-0.9443768315258648,0.02485878163373745,0.6563922337011142,-0.8373513514263617,-0.8903452477346984,0.8713307843132845,0.0,20,True
brain_cerebellar_hemisphere,raw,ENSG00000304385.1,ENSG00000304385,0.5312748896416027,255.1063466626885,-0.9986424367179091,0.0011718777681258255,25.816034099259245,130.69225954501965,0.0,-1.0,-0.8903452477346984,-0.9959838867527699,0.015828814764326307,4.335235842527369,19.185603222413693,-0.8903452477346984,254.03220323745424,0.0,277,True
brain_cerebellum,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,0.06898956539439385,0.6837979868646845,-0.9623826524475123,0.013453723415724378,8.40967361286432,4.204562705687486,0.0,-0.9741547364935834,-0.9223837263790422,-0.9579133900173805,0.01310562627199865,1.3809771911950361,1.9249287098169088,-0.9223837263790422,0.6836976877793582,0.0,14,True
brain_cerebellum,raw,ENSG00000304385.1,ENSG00000304385,0.3589472612899615,278.03242850042267,-0.9991583285297038,0.00040699302408235083,16.9743590774831,266.7752938814377,0.0,-1.0,-0.9223837263790422,-0.9977849152640728,0.009852812906337627,4.706363962593151,22.984735314226306,-0.9223837263790422,271.19688780642946,0.0,266,True
brain_cortex,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,,,,,,,,,,,,,,,,,7,False
brain_cortex,raw,ENSG00000304385.1,ENSG00000304385,0.17948717948716406,310.70722710197253,-0.9995141596431648,0.00021158762403813899,7.743589743589961,302.8210065970451,0.0,-1.0,-0.95420758148591,-0.9991866136344278,0.005127511156285886,6.477972681898073,42.32700985004598,-0.95420758148591,305.63272149432856,0.0,270,True
brain_frontal_cortex_ba9,excluded_at_or_below_-1,ENSG00000304385.1,ENSG00000304385,,,,,,,,,,,,,,,,,9,False
