tissue,table,gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
adipose_subcutaneous,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,0.1969989618254985,1.2638422342632922,-0.9234796692075987,0.042855219080211074,25.434800862955264,3.138247842666191,0.0,-0.9924413583868056,-0.8283806669043112,-0.91773884904083,0.03713896995647602,0.45275241711691155,0.013029314226119748,-0.8283806669043112,1.2546544822345826,0.0,31,True
adipose_subcutaneous,raw,ENSG00000235737.1,TRIM60P19,0.7894736843449072,816.9639646654645,-0.9985982351454892,0.0017511424044421107,32.31578949753091,137.4668290541071,0.0,-1.0,-0.8283806669043112,-0.9964284374233413,0.018424824405075223,5.72788720806614,34.87659376768016,-0.8283806669043112,816.7115361957138,0.0,714,True
adipose_visceral_omentum,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,0.17397391354917283,0.28866988018487255,-0.938984687157144,0.034756231872699224,11.949707583432943,3.8631061030562774,0.0,-0.975390959669393,-0.8440435728594143,-0.9201057555347739,0.03983317097819789,0.6428623173050567,-0.49989989708250127,-0.8440435728594143,0.28850399442659036,0.0,12,True
adipose_visceral_omentum,raw,ENSG00000235737.1,TRIM60P19,0.30769230769230765,642.969758214735,-0.9982313867589817,0.000539735992671046,12.30769230769908,404.00214277042875,0.0,-1.0,-0.8440435728594143,-0.998366727540745,0.0125627918685696,8.851212345568452,85.4589535599072,-0.8440435728594143,636.5856917823602,0.0,587,True
adrenal_gland,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,,,,,,,,,,,,,,,,,6,False
adrenal_gland,raw,ENSG00000235737.1,TRIM60P19,-0.0971102022419352,273.08713713237256,-0.9974766774284275,0.002493042342298172,286.43587435033817,114.02783317568804,0.0,-1.0,-0.7964630371473387,-0.9985339756628949,0.013327707477949051,12.654351038974678,180.34695127870668,-0.7964630371473387,272.1679381027909,0.0,295,True
artery_aorta,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,0.009797012458421388,2.1095131483569003,-0.9350796779811164,0.06345402633071907,10.80932220358997,7.728937273835397,0.0,-0.9564035179951464,-0.5882917512273476,-0.8973471016224865,0.08137331745499277,3.235242897199593,10.014206897112043,-0.5882917512273476,2.109495179540601,0.0,18,True
artery_aorta,raw,ENSG00000235737.1,TRIM60P19,0.4615384615271722,494.2937493320641,-0.9954863774006741,0.0021569666017428497,31.69230769658865,266.97685647726786,0.0,-1.0,-0.5882917512273476,-0.9960852708245863,0.025026998244624205,10.771443325486262,153.36407065034567,-0.5882917512273476,484.96962841056774,0.0,472,True
artery_coronary,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,,,,,,,,,,,,,,,,,5,False
artery_coronary,raw,ENSG00000235737.1,TRIM60P19,0.12820512820512817,291.13720307610356,-0.9975677191285856,0.0009097025886735576,4.3589743590466306,334.87034763610643,0.0,-1.0,-0.7821600676820831,-0.9979842812079843,0.016690839306327043,10.077439257093975,113.48037568679115,-0.7821600676820831,286.64595851715274,0.0,268,True
artery_tibial,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,,,,,,,,,,,,,,,,,9,False
artery_tibial,raw,ENSG00000235737.1,TRIM60P19,0.2307692286939491,759.7970786509194,-0.9983807865763469,0.0008162535647891912,6.923076934031453,258.86879621926903,0.0,-1.0,-0.8489673009836245,-0.9987683253857168,0.011315838241572404,9.820924140518027,100.58850215083407,-0.8489673009836245,747.0043537786473,0.0,691,True
bladder,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,,,,,,,,,,,,,,,,,2,False
bladder,raw,ENSG00000235737.1,TRIM60P19,0.05263159477710285,71.941034288025,-0.999266443990743,0.0006065102837217006,10.999158929208837,135.22034605026573,0.0,-1.0,-0.9412748275687696,-0.9984942710591261,0.009281940294101648,5.962065111537986,33.55309066450375,-0.9412748275687696,71.50508914546143,0.0,77,True
brain_amygdala,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,0.33562009534876075,4.704127468811573,-0.9394159548411986,0.01024094957977878,16.17269644082923,43.929784860951315,0.0,-0.9780044059140598,-0.6213008385806713,-0.9084945590245689,0.08563027214124615,2.4600319804435298,5.212000048424965,-0.6213008385806713,4.7034928958374245,0.0,23,True
brain_amygdala,raw,ENSG00000235737.1,TRIM60P19,0.5897435897411841,181.98590953327704,-0.9959993793176295,0.001924774698090191,45.435897436043575,275.3069014453471,0.0,-1.0,-0.6213008385806713,-0.9883722367821276,0.04278035154402838,5.931733969902149,42.07352269914365,-0.6213008385806713,179.8870235014914,0.0,181,True
brain_anterior_cingulate_cortex_ba24,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,0.26819826589953605,2.205973448460759,-0.9442625278240887,0.020426757376081912,33.10616271870089,8.618906166761894,0.0,-0.9745912631390276,-0.8197719206061567,-0.9303295041761759,0.03667637765964826,1.6658055454031016,2.6070311985497856,-0.8197719206061567,2.205931981302501,0.0,31,True
brain_anterior_cingulate_cortex_ba24,raw,ENSG00000235737.1,TRIM60P19,0.9349379341598242,195.25051742865912,-0.9977621138127483,0.0020415647179846397,95.8657045735035,123.2956971604871,0.0,-1.0,-0.8197719206061567,-0.9907305348903925,0.027133765296706677,3.5479185330196428,14.393859904927634,-0.8197719206061567,194.43949537989485,0.0,233,True
brain_caudate_basal_ganglia,excluded_at_or_below_-1,ENSG00000235737.1,TRIM60P19,0.19277958711794635,2.479698224697093,-0.9519207913131917,0.035149455387642956,31.886218772252594,5.789014648099853,0.0,-0.979911046922462,-0.8080381999382722,-0.9349591615489047,0.037100727418021937,1.730128898442462,3.1558909024945345,-0.8080381999382722,2.479664603617435,0.0,39,True
