tissue,table,gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
adipose_subcutaneous,excluded_at_or_below_-1,ENSG00000299293.1,ENSG00000299293,1.0799662976511282,35.596636791722396,-0.8711761788881587,0.09265475301893947,608.4173852954909,15.0614102421152,0.0,-0.9670147631297598,0.1155992864513173,-0.8212691563387866,0.12394861890446604,2.734745175769591,13.52061172070944,0.1155992864513173,35.59662722817405,0.0,244,True
adipose_subcutaneous,raw,ENSG00000299293.1,ENSG00000299293,6.184197820080108,534.4170333717088,-0.9915401652153791,0.01457199061535775,4991.709788491673,107.44802610119676,0.0,-1.0,0.1155992864513173,-0.9389211122502297,0.11149948487458429,2.9067044278987413,14.277587342154746,0.1155992864513173,532.5917432499762,0.0,714,True
adipose_visceral_omentum,excluded_at_or_below_-1,ENSG00000299293.1,ENSG00000299293,2.258847774815554,18.0156595493914,-0.8826403054979661,0.08094792354918902,282.46296399297796,9.392146793744052,0.0,-0.9611522805059624,-0.3450448525545019,-0.8100692309086586,0.12395877700125621,1.4801973352948805,2.2176721590426416,-0.3450448525545019,18.015339067140108,0.0,244,True
adipose_visceral_omentum,raw,ENSG00000299293.1,ENSG00000299293,6.256410256405083,428.7044371933255,-0.9934843043171747,0.003401181556059688,1929.4358974390937,269.6215570811631,0.0,-1.0,-0.3450448525545019,-0.9210509239211462,0.12307993391404189,1.9160012344637944,3.912063070040422,-0.3450448525545019,428.6300973670376,0.0,587,True
adrenal_gland,excluded_at_or_below_-1,ENSG00000299293.1,ENSG00000299293,0.30806273267360235,7.317368888209758,-0.9219726956990516,0.08979577464287916,30.48531852151818,11.04001192532265,0.0,-0.9718000552437176,-0.220984917560748,-0.8550789567337898,0.12646775554494843,2.831031720088996,10.114839480493268,-0.220984917560748,7.31728137112736,0.0,61,True
adrenal_gland,raw,ENSG00000299293.1,ENSG00000299293,1.5263127724131773,269.0465251482341,-0.9941810740309417,0.010252069053552996,259.47359551761383,106.65793267125356,0.0,-1.0,-0.220984917560748,-0.9700332757991904,0.08197940014634841,4.6879739467591826,30.36930382018614,-0.220984917560748,268.07436432611655,0.0,295,True
artery_aorta,excluded_at_or_below_-1,ENSG00000299293.1,ENSG00000299293,0.3656597107271845,9.609453130312595,-0.9218295458055649,0.16426857209618886,62.24107826638976,6.371854940674379,0.0,-0.9410144430512704,-0.181704050931765,-0.8060973412137331,0.1270397196937735,2.041496315177626,5.649525371716287,-0.181704050931765,9.609442769782735,0.0,98,True
artery_aorta,raw,ENSG00000299293.1,ENSG00000299293,2.5128204942935666,403.3042034880993,-0.9897792939471001,2.788381258560374e-05,559.7435897435919,40984.02844237442,,-1.0,-0.181704050931765,-0.9597405496587836,0.09758322460117701,3.3315021821797375,14.40734495279371,-0.181704050931765,0.0,0.0,472,True
artery_coronary,excluded_at_or_below_-1,ENSG00000299293.1,ENSG00000299293,0.23398897478751582,6.112984483261147,-0.859631891667171,0.16053297979109274,51.340314446084996,8.774833734351997,0.0,-0.9838602973447472,0.1364342217019925,-0.7793771638321171,0.18330066612906834,2.6434990750749296,9.31609501575366,0.1364342217019925,6.1128363407548125,0.0,63,True
artery_coronary,raw,ENSG00000299293.1,ENSG00000299293,1.5789472315278799,233.8465962183372,-0.990646932858768,0.01323176242529793,241.26315680573416,120.46267182272696,0.0,-1.0,0.1364342217019925,-0.9481371691097887,0.1287912969784073,4.092945373626311,23.409749639285028,0.1364342217019925,233.8229609174706,0.0,268,True
