tissue,table,gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
adipose_subcutaneous,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,-0.1408969015449154,67.01993169728847,0.6772100640237042,0.60442989840922,376.70640928772934,6.0589209533417305,0.0,-0.722078316212286,3.2667715515776496,0.6874524730492799,0.43590096453314253,0.43606056340111865,1.9431593654864097,3.2667715515776496,67.01979523686654,0.0,714,True
adipose_subcutaneous,raw,ENSG00000214226.9,C17orf67,-0.1408969015449154,67.01993169728847,0.6772100640237042,0.60442989840922,376.70640928772934,6.0589209533417305,0.0,-0.722078316212286,3.2667715515776496,0.6874524730492799,0.43590096453314253,0.43606056340111865,1.9431593654864097,3.2667715515776496,67.01979523686654,0.0,714,True
adipose_visceral_omentum,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.03538518552817081,39.825258745518695,0.8310089468493284,1.0011934192608818,1006.6504429947959,4.796155992733043,0.0,-0.4092686503736179,4.226450728368704,0.9315572650343459,0.6657570387518837,0.6582628186893975,0.826567000002461,4.226450728368704,39.824693502003214,0.0,587,True
adipose_visceral_omentum,raw,ENSG00000214226.9,C17orf67,0.03538518552817081,39.825258745518695,0.8310089468493284,1.0011934192608818,1006.6504429947959,4.796155992733043,0.0,-0.4092686503736179,4.226450728368704,0.9315572650343459,0.6657570387518837,0.6582628186893975,0.826567000002461,4.226450728368704,39.824693502003214,0.0,587,True
adrenal_gland,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,1.4825369660093162,22.621453289136813,-0.40422719130140355,0.3781294600543823,295.0344466685284,7.491090446928757,0.0,-0.8716973594357927,1.5987248813420778,-0.24536160220057612,0.40662940267436337,1.423207920798171,2.463778257877797,1.5987248813420778,22.621129501122134,0.0,295,True
adrenal_gland,raw,ENSG00000214226.9,C17orf67,1.4825369660093162,22.621453289136813,-0.40422719130140355,0.3781294600543823,295.0344466685284,7.491090446928757,0.0,-0.8716973594357927,1.5987248813420778,-0.24536160220057612,0.40662940267436337,1.423207920798171,2.463778257877797,1.5987248813420778,22.621129501122134,0.0,295,True
artery_aorta,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.3785692365240432,25.611719786649783,1.0012901074271938,0.6526931946254819,563.271446280017,3.391445641609796,0.0,0.0154190668368681,2.566522933017212,1.0594092996948672,0.4589985233192456,0.4443197438036432,0.029217943684573644,2.566522933017212,25.530026620448695,0.0,472,True
artery_aorta,raw,ENSG00000214226.9,C17orf67,0.3785692365240432,25.611719786649783,1.0012901074271938,0.6526931946254819,563.271446280017,3.391445641609796,0.0,0.0154190668368681,2.566522933017212,1.0594092996948672,0.4589985233192456,0.4443197438036432,0.029217943684573644,2.566522933017212,25.530026620448695,0.0,472,True
artery_coronary,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.6815108465801027,17.665186282719635,0.8124827353676832,0.7126541933323163,158.53673150537574,5.36521311506222,0.0,0.106026642391815,3.516134946250604,0.9849901154712142,0.5366790045857583,1.0739305590776864,1.7888657481664456,3.516134946250604,17.66516682074475,0.0,268,True
artery_coronary,raw,ENSG00000214226.9,C17orf67,0.6815108465801027,17.665186282719635,0.8124827353676832,0.7126541933323163,158.53673150537574,5.36521311506222,0.0,0.106026642391815,3.516134946250604,0.9849901154712142,0.5366790045857583,1.0739305590776864,1.7888657481664456,3.516134946250604,17.66516682074475,0.0,268,True
artery_tibial,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.5387078466382969,41.42407573339364,0.6337784678281552,0.6001445123442076,435.5644376615967,3.6574407201353134,0.0,-0.4307918362247709,2.18587288681406,0.6655232060354939,0.4329071476610844,0.2789251654420911,0.018030843655683082,2.18587288681406,41.37229396518819,0.0,691,True
artery_tibial,raw,ENSG00000214226.9,C17orf67,0.5387078466382969,41.42407573339364,0.6337784678281552,0.6001445123442076,435.5644376615967,3.6574407201353134,0.0,-0.4307918362247709,2.18587288681406,0.6655232060354939,0.4329071476610844,0.2789251654420911,0.018030843655683082,2.18587288681406,41.37229396518819,0.0,691,True
bladder,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.2910453154183027,3.3696275360062247,1.0407605634514132,0.5026402924256353,110.47524206655649,3.0385931802649773,0.0,0.3263014815846385,2.120738443261899,1.0899181209115776,0.37729685864445184,0.33756249113786807,-0.139565374966915,2.120738443261899,3.3362825734777277,0.0,77,True
bladder,raw,ENSG00000214226.9,C17orf67,0.2910453154183027,3.3696275360062247,1.0407605634514132,0.5026402924256353,110.47524206655649,3.0385931802649773,0.0,0.3263014815846385,2.120738443261899,1.0899181209115776,0.37729685864445184,0.33756249113786807,-0.139565374966915,2.120738443261899,3.3362825734777277,0.0,77,True
brain_amygdala,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.8400678222266044,12.30960001767845,0.08473882207641559,0.4702553928226356,105.7848519638465,5.648187222758576,0.0,-0.8118497804767528,1.9628784269018151,0.21733230646108048,0.4729679388619904,1.0550186369885841,1.4712284729388996,1.9628784269018151,12.309359753365735,0.0,181,True
brain_amygdala,raw,ENSG00000214226.9,C17orf67,0.8400678222266044,12.30960001767845,0.08473882207641559,0.4702553928226356,105.7848519638465,5.648187222758576,0.0,-0.8118497804767528,1.9628784269018151,0.21733230646108048,0.4729679388619904,1.0550186369885841,1.4712284729388996,1.9628784269018151,12.309359753365735,0.0,181,True
brain_anterior_cingulate_cortex_ba24,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.7594814831889263,15.729608558462381,0.28675523689331994,0.49827338406269284,161.75057421315995,4.750018811087603,0.0,-0.7787267195811363,1.960341186239252,0.3004049747229193,0.4372099267261345,0.4602574153365538,1.065960097123133,1.960341186239252,15.729410194443739,0.0,233,True
brain_anterior_cingulate_cortex_ba24,raw,ENSG00000214226.9,C17orf67,0.7594814831889263,15.729608558462381,0.28675523689331994,0.49827338406269284,161.75057421315995,4.750018811087603,0.0,-0.7787267195811363,1.960341186239252,0.3004049747229193,0.4372099267261345,0.4602574153365538,1.065960097123133,1.960341186239252,15.729410194443739,0.0,233,True
brain_caudate_basal_ganglia,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.6545094516280672,27.67600568422537,0.06347001329487496,0.5045543982756002,89.34457855447549,7.493611248865469,0.0,-0.8617766198925101,2.7369944477784887,0.11367844377199626,0.4543806467824034,1.1570474933867405,4.142318369478305,2.7369944477784887,27.67600564065753,0.0,300,True
brain_caudate_basal_ganglia,raw,ENSG00000214226.9,C17orf67,0.6545094516280672,27.67600568422537,0.06347001329487496,0.5045543982756002,89.34457855447549,7.493611248865469,0.0,-0.8617766198925101,2.7369944477784887,0.11367844377199626,0.4543806467824034,1.1570474933867405,4.142318369478305,2.7369944477784887,27.67600564065753,0.0,300,True
brain_cerebellar_hemisphere,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.7344026931545831,20.94083885587425,0.6882537084165958,0.4884721595197483,241.96942761999065,5.3371570732785525,0.0,-0.3945227339518596,2.531718309976319,0.7317923962810867,0.4403401636545474,0.777561041919284,2.0503713972430333,2.531718309976319,20.94055939987608,0.0,277,True
brain_cerebellar_hemisphere,raw,ENSG00000214226.9,C17orf67,0.7344026931545831,20.94083885587425,0.6882537084165958,0.4884721595197483,241.96942761999065,5.3371570732785525,0.0,-0.3945227339518596,2.531718309976319,0.7317923962810867,0.4403401636545474,0.777561041919284,2.0503713972430333,2.531718309976319,20.94055939987608,0.0,277,True
brain_cerebellum,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.6647483891013436,14.880744473557854,0.6662503653155527,0.44547380985345303,451.555280266444,3.88348850740378,0.0,-0.0512616171519955,1.8895397375460663,0.727008714417711,0.350900267971162,0.6188278735947963,0.48296980904010267,1.8895397375460663,14.872683619586073,0.0,266,True
brain_cerebellum,raw,ENSG00000214226.9,C17orf67,0.6647483891013436,14.880744473557854,0.6662503653155527,0.44547380985345303,451.555280266444,3.88348850740378,0.0,-0.0512616171519955,1.8895397375460663,0.727008714417711,0.350900267971162,0.6188278735947963,0.48296980904010267,1.8895397375460663,14.872683619586073,0.0,266,True
brain_cortex,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,1.0988500571066917,22.473245407311484,0.28946726326652694,0.35739428908960047,290.59604101003663,6.147821155716097,0.0,-0.6758541685076782,1.8431195756585788,0.3255902178551801,0.3692745166375808,0.7788174907206955,2.2740184446598324,1.8431195756585788,22.472611994459275,0.0,270,True
brain_cortex,raw,ENSG00000214226.9,C17orf67,1.0988500571066917,22.473245407311484,0.28946726326652694,0.35739428908960047,290.59604101003663,6.147821155716097,0.0,-0.6758541685076782,1.8431195756585788,0.3255902178551801,0.3692745166375808,0.7788174907206955,2.2740184446598324,1.8431195756585788,22.472611994459275,0.0,270,True
brain_frontal_cortex_ba9,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,1.0530683678552164,19.03130479837218,0.37759783381617695,0.4636529174576596,230.04624351835034,5.7203005342888185,0.0,-0.4937342214577348,2.2530105027535945,0.41747820903002697,0.4318340974483079,0.7099733588627092,1.7242908867671272,2.2530105027535945,19.031302774248942,0.0,269,True
brain_frontal_cortex_ba9,raw,ENSG00000214226.9,C17orf67,1.0530683678552164,19.03130479837218,0.37759783381617695,0.4636529174576596,230.04624351835034,5.7203005342888185,0.0,-0.4937342214577348,2.2530105027535945,0.41747820903002697,0.4318340974483079,0.7099733588627092,1.7242908867671272,2.2530105027535945,19.031302774248942,0.0,269,True
brain_hippocampus,excluded_at_or_below_-1,ENSG00000214226.9,C17orf67,0.16997061572619962,16.682925083776325,0.2733766544706174,0.548809872268609,143.40674964654787,4.348245006452531,0.0,-0.6283653107718454,1.960787841914926,0.2956590565494653,0.40268471408783296,0.5073618832003279,0.961630682113606,1.960787841914926,16.681465881196452,0.0,255,True
brain_hippocampus,raw,ENSG00000214226.9,C17orf67,0.16997061572619962,16.682925083776325,0.2733766544706174,0.548809872268609,143.40674964654787,4.348245006452531,0.0,-0.6283653107718454,1.960787841914926,0.2956590565494653,0.40268471408783296,0.5073618832003279,0.961630682113606,1.960787841914926,16.681465881196452,0.0,255,True
