tissue,table,gene,genename,y0,A,x0,w,sumsquarevalue,rti_sigma_dist,rti,lti_sigma_dist,lti,min,max,mean,std,skew,kurt,left,right,maxheight,rightheight,leftheight,n_obs,fit_success
brain_putamen_basal_ganglia,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,0,False
brain_putamen_basal_ganglia,raw,ENSG00000265768.1,MIR4506,0.0,254.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,2.0743902037618585e-187,0.0,,254,True
brain_spinal_cord_cervical_c-1,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,3,False
brain_spinal_cord_cervical_c-1,raw,ENSG00000265768.1,MIR4506,0.07692307692306942,217.92634529331323,-0.9875818714061868,0.004970462336754097,2.7692307692308136,311.3728026625971,0.0,3.533249964857933,0.001967179693000268,-1.0,0.1067838096349218,-0.9894012221568151,0.09399272935507243,9.794222861074925,101.19354352951885,-1.0,0.1067838096349218,215.59116788172028,0.0,0.4241065674471316,204,True
brain_substantia_nigra,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,1,False
brain_substantia_nigra,raw,ENSG00000265768.1,MIR4506,0.025641025641079753,209.2688618234951,-0.9957435125734272,0.001752231726173413,0.974358976167549,313.689895213856,0.0,3.4353802392767108,0.0028301618696466913,-1.0,-0.6070770471978658,-0.9978528800393326,0.029045700455761738,13.416612631565927,178.0054945054944,-1.0,-0.6070770471978658,202.37502235167946,0.0,0.5727540716286198,183,True
breast_mammary_tissue,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,5,False
breast_mammary_tissue,raw,ENSG00000265768.1,MIR4506,0.12820513109886683,521.7396180263012,-0.9853543020905984,0.00615845770118498,6.358974359309286,283.57177762794106,0.0,3.363203194512484,0.0034981624421988075,-1.0,0.2495120888391087,-0.9926509537763136,0.07877528448308065,11.93262040742717,154.90641429754686,-1.0,0.2495120888391087,521.713323576341,0.0,1.82503795412947,514,True
cells_cultured_fibroblasts,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,0,False
cells_cultured_fibroblasts,raw,ENSG00000265768.1,MIR4506,0.0,652.0,-0.9875,1.0001e-06,0.0,-17675.90193946968,0.0,,,-1.0,-1.0,-1.0,0.0,,,,-1.0,5.324812649026503e-187,0.0,,652,True
cells_ebv-transformed_lymphocytes,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,0.34524751951010796,3.2752042781054658,-0.5193710484886271,0.06110906859419982,17.307656896810013,17.45581722690355,0.0,1.0537883806220623,0.57394024907284,-0.5649059154624283,0.2349059296621785,-0.3521155540433358,0.22992268657252551,1.0916831018447881,-0.00013954831137086288,-0.5649059154624283,0.2349059296621785,3.275187929000505,0.0,1.8797621757309089,29,True
cells_ebv-transformed_lymphocytes,raw,ENSG00000265768.1,MIR4506,0.7592812901361901,283.5899699302229,-0.9845767845011076,0.01287873877595259,273.97777380776853,133.9113265244181,0.0,1.6936224045994226,0.23972897609595095,-1.0,0.2349059296621785,-0.9425423580038431,0.1963901706094585,3.609487055343039,12.952153268491166,-1.0,0.2349059296621785,281.91264752446546,0.0,67.58263033953882,327,True
cervix_ectocervix,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,2,False
cervix_ectocervix,raw,ENSG00000265768.1,MIR4506,0.05128205128205123,26.262516924595012,-0.9895973093214351,0.004295014238958243,1.8974358974358978,318.52158905185087,0.0,3.4252799698207714,0.0028909097545507683,-1.0,-0.0222365112127914,-0.9279710442269414,0.2463122259476096,3.113858856294916,7.920712125527926,-1.0,-0.0222365112127914,25.74023436499345,0.0,0.07441269461018298,24,True
cervix_endocervix,excluded_at_or_below_-1,ENSG00000265768.1,MIR4506,,,,,,,,,,,,,,,,,,,,,4,False
