gene,genename,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
ENSG00000232927.1,USP12PY,,,,,,,,,,,,,,,,,6,False
ENSG00000286050.2,ENSG00000286050,0.05500691461185306,481085983273.2974,-2.282998201354001,0.258050730456581,6.400146968488151,8.861207028971833,0.0,-0.9817418585650632,-0.6660988819074278,-0.934383414989507,0.07795924372448496,2.802399773845591,7.087262692135317,-0.6660988819074278,4.354090984824056,0.0,16,True
ENSG00000225653.1,RNF19BPY,,,,,,,,,,,,,,,,,1,False
ENSG00000218410.1,ENSG00000218410,,,,,,,,,,,,,,,,,2,False
ENSG00000229518.1,UBE2V1P3,,,,,,,,,,,,,,,,,1,False
ENSG00000229308.2,ENSG00000229308,,,,,,,,,,,,,,,,,2,False
ENSG00000252900.1,RNU6-303P,,,,,,,,,,,,,,,,,0,False
ENSG00000225878.1,SERBP1P2,,,,,,,,,,,,,,,,,0,False
ENSG00000277930.2,ENSG00000277930,,,,,,,,,,,,,,,,,2,False
ENSG00000099715.15,PCDH11Y,0.19139758748620553,4.8961354590429575,-0.991715681074144,0.007994970330413999,18.66982984475026,13.572063173729488,0.0,-0.995205244658449,-0.9149887670609652,-0.9831586430804248,0.01572225652272336,2.7942284620156705,8.90795399716126,-0.9149887670609652,4.89613090201518,0.0,33,True
ENSG00000252468.1,RNU2-57P,,,,,,,,,,,,,,,,,0,False
ENSG00000231341.1,VDAC1P6,-0.12631985259483747,1650073097.7587779,-6.04678265426782,1.1453865551461078,18.875162226985076,6.702158356158964,0.0,-0.9413066863481,-0.6186335572367447,-0.8480669373180414,0.0778381770320975,1.0280198407868446,0.5895565623477115,-0.6186335572367447,3.5877331453933503,0.0,51,True
ENSG00000235001.3,EIF4A1P2,0.6353937917392553,11.513711049072315,-0.652691159231664,0.32733787960495814,156.72440862543183,5.993988671756438,0.0,-0.9422198086224964,0.7346944481418742,-0.536642407135091,0.3053359842109726,1.6334767294830617,3.5304813050369166,0.7346944481418742,11.513561810689023,0.0,168,True
ENSG00000214207.2,KRT18P10,0.36895323722542456,2.555576407912597,-0.9497421122590636,0.07707354462691904,40.56404967391338,4.043022880156658,0.0,-0.9652630925230355,-0.7294004943647214,-0.8963422643582417,0.05710799050711234,1.0506403724712312,0.3870318370363308,-0.7294004943647214,2.554843696972624,0.0,51,True
ENSG00000278585.1,SNX3P1Y,,,,,,,,,,,,,,,,,0,False
ENSG00000235175.1,RPL26P37,0.6301155208560585,5.154473506062678,-0.6748659279107729,0.19243408811624313,104.77844595595752,5.087582982206048,0.0,-0.9049127547145516,0.0174088585463048,-0.60457344822185,0.19368672997245276,1.042491530830888,0.8246515475897924,0.0174088585463048,5.1544074345708415,0.0,98,True
ENSG00000285470.1,TUSC2P1,,,,,,,,,,,,,,,,,0,False
ENSG00000237195.1,DLGAP5P1,,,,,,,,,,,,,,,,,0,False
ENSG00000290369.2,ENSG00000290369,,,,,,,,,,,,,,,,,1,False
ENSG00000250204.3,TTTY23B,,,,,,,,,,,,,,,,,0,False
ENSG00000168757.13,TSPY2,,,,,,,,,,,,,,,,,5,False
ENSG00000290448.1,FAM197Y9,,,,,,,,,,,,,,,,,1,False
ENSG00000234830.9,FAM197Y9,,,,,,,,,,,,,,,,,0,False
ENSG00000238235.1,TSPY11P,,,,,,,,,,,,,,,,,0,False
ENSG00000296934.1,ENSG00000296934,,,,,,,,,,,,,,,,,2,False
ENSG00000275352.1,ENSG00000275352,,,,,,,,,,,,,,,,,0,False
ENSG00000234583.1,TSPY19P,,,,,,,,,,,,,,,,,1,False
ENSG00000235094.3,ENSG00000235094,,,,,,,,,,,,,,,,,0,False
ENSG00000295986.1,ENSG00000295986,,,,,,,,,,,,,,,,,0,False
